"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ramesh Kaushik";"BJP";"0";"Graduate Professional";"54";"142840716";"0";"Yes";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Anil Kuma";"Rashtriya Bahujan Hitay Party";"0";"10th Pass";"27";"10875000";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Anup Sing Dahiya";"Rashtriya Jatigat Aarakshan Virodhi Party";"0";"10th Pass";"65";"13153500";"152500";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Ashok Kumar Vashishth";"RPI(A)";"0";"10th Pass";"37";"1501000";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Bhupeshwar Dayal";"IND";"0";"Graduate Professional";"37";"3058174";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Bijender Kuma";"IND";"0";"10th Pass";"36";"1650000";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Dalbir Singh Chahal";"Rashtravadi Janata Party";"0";"5th Pass";"28";"16475000";"90000";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Gulab Singh";"POORVANCHAL RASHTRIYA CONGRESS";"0";"Graduate";"42";"53952000";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Hari Parkash";"SUCI(C)";"0";"10th Pass";"60";"5588154";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Jagb";"IND";"0";"8th Pass";"29";"415316";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Jagbir Singh Malik";"INC";"0";"Graduate Professional";"64";"69917201";"2154569";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Jai Singh";"AAP";"0";"Post Graduate";"62";"246912638";"12140161";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Jaswant";"IND";"0";"10th Pass";"51";"612000";"108000";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Manoj Kuma";"IND";"0";"Graduate Professional";"0";"5915698";"685000";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Padam Singh";"IND";"0";"12th Pass";"64";"11672304";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Padam Singh";"INLD";"0";"Graduate Professional";"51";"30051128";"466311";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Ramesh";"IND";"0";"Graduate Professional";"53";"42376491";"425241";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Sanjay";"IND";"0";"10th Pass";"40";"15800000";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Sant Dharamvir Chotiwala";"IND";"0";"Graduate Professional";"42";"30110000";"50000";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Satya Naraya";"IND";"0";"10th Pass";"47";"14173000";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Sitender Singh";"IND";"0";"Post Graduate";"36";"50000";"0";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Sukhbir Singh";"IND";"0";"Post Graduate";"58";"35860077";"2625000";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
"Suman Singh";"BSP";"0";"10th Pass";"65";"21283460";"450000";"No";"SONIPAT";"HARYANA";"2014";"Lok Sabha";"No Comment"
