"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Shibu Soren";"JMM";"0";"10th Pass";"68";"46760684";"1479721";"Yes";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Babu Lal So";"AITC";"0";"Literate";"57";"575800";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Babulal Marand";"JVM(P)";"0";"Graduate";"56";"6974656";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Baghrai So";"IND";"0";"Graduate Professional";"59";"765000";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Bitiya Manjh";"CPI(ML)L";"0";"10th Pass";"40";"1214500";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Chhaya Kol";"CPI";"0";"8th Pass";"31";"3061595";"700000";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Joshil Murmu";"IND";"0";"Graduate";"32";"30672";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Pulis Hembrom";"IND";"0";"Literate";"35";"1227400";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Sahadeo So";"AAP";"0";"Post Graduate";"64";"10977580";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Shrilal Kisku";"IND";"0";"Graduate Professional";"55";"3050000";"82000";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Sokol Hansda";"BSP";"0";"10th Pass";"31";"1834000";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Stephen Besra";"Jharkhand Disom Party";"0";"10th Pass";"36";"1457179";"250000";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Sunil So";"BJP";" 1";"12th Pass";"35";"2944200";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Uma Nath Kol";"IND";"0";"10th Pass";"56";"350527";"0";"No";"DUMKA";"JHARKHAND";"2014";"Loksabha";"No Comment"
