"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Vijay Kumar Hansdak";"JMM";" 1";"5th Pass";"31";"6863306";"0";"Yes";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Arjun Prasad Singh";"AJSU Party";"0";"Post Graduate";"65";"35193984";"0";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Arun Marand";"BSP";"0";"Graduate";"28";"365700";"0";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Barnard Hembrom";"Rashtriya Krantikari Samajwadi Party";"0";"12th Pass";"43";"8001008";"0";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Dr. Anil Murmu";"JVM(P)";" 1";"Post Graduate";"43";"2986472";"328617";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Hemlal Murmu";"BJP";"0";"Graduate";"58";"41894447";"13010487";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Jyotin So";"CPI(M)";" 1";"Graduate";"66";"1901675";"90000";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Krishna Singh";"IUML";"0";"12th Pass";"42";"680000";"2680000";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Saniram Hembrom";"IND";"0";"10th Pass";"45";"1090000";"0";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Surae So";"IND";"0";"Doctorate";"33";"566012";"0";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
"Tala Hansda";"IND";"0";"8th Pass";"41";"1714000";"0";"No";"RAJMAHAL";"JHARKHAND";"2014";"Lok Sabha";"No Comment"
