"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ramtahal Choudhary";"BJP";"0";"10th Pass";"72";"10743950";"0";"Yes";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Abul Hasa";"IND";"0";"Post Graduate";"38";"165500";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Amanullah";"AAP";"0";"Post Graduate";"44";"2391132";"126000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Amit Kumar Singh";"IND";"0";"12th Pass";"33";"1169044";"9000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Amitabh Choudhary";"JVM(P)";"0";"Graduate Professional";"54";"17931854";"1095618";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Anjani Pandey";"IND";"0";"Graduate Professional";"56";"25000";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Arsad Ayub";"IND";" 1";"10th Pass";"43";"5746855";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Bahadur Urao";"CPI(ML)L";" 1";"10th Pass";"70";"992464";"600000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Balram Kumar Bedia";"IND";"0";"12th Pass";"35";"5287989";"125000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Bandhu Tirkey";"AITC";" 7";"Graduate";"53";"1832121";"1261689";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Birendra Kumar Jaiswal";"IND";"0";"10th Pass";"48";"10201398";"1698482";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Bisheshwar Mahto";"Samata Party";"0";"10th Pass";"49";"9999500";"300000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Chintamani Mahto";"IND";" 1";"12th Pass";"43";"7763850";"26150";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Durga Munda";"BSP";"0";"8th Pass";"39";"16842973";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Kafilur Rahma";"IND";"0";"Graduate Professional";"39";"920000";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Lal Jotindra Dev";"Akhil Bhartiya Jharkhand Party";"0";"Post Graduate";"0";"7216000";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Man Singh Mard";"Jharkhand Party (Naren)";"0";"12th Pass";"36";"40000";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Rajendra Singh Munda";"CPI(M)";"0";"10th Pass";"78";"8243730";"3000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Ram Lal Mahto";"SUCI(C)";"0";"Graduate";"63";"521590";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Rampodo Mahto";"IND";" 6";"8th Pass";"48";"7296004";"300000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Ranjit Mahto";"Bahujan Mukti Party";"0";"Post Graduate";"49";"254840";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Sajiya Haida";"IND";"0";"12th Pass";"29";"22851217";"6348982";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Subodh Kant Saha";"INC";" 1";"Graduate Professional";"60";"58895068";"3355000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Sudesh Kumar Mahto";"AJSU Party";"0";"Post Graduate";"40";"72986000";"28544000";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Suresh Toppo";"Jharkhand Disom Party";"0";"Graduate";"44";"427491";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Thaddeus Lakra";"IND";"0";"Graduate";"65";"5210000";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Vikas Chandra Sharma";"CPI(ML) Red Star";"0";"Post Graduate";"34";"126000";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
"Yugeshwar Marar D";"Manav Mukti Morcha";" 1";"Graduate Professional";"67";"7735000";"0";"No";"RANCHI";"JHARKHAND";"2014";"Loksabha";"No Comment"
