"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ananth Kumar";"BJP";"0";"Graduate Professional";"54";"45224706";"2883233";"Yes";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"B. R. Govindaiah";"IND";"0";"12th Pass";"64";"4067500";"23000";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Dr. Kodur Venkatesh";"IND";"0";"Doctorate";"52";"44213130";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Dr. Pradeep Gadugesh";"IND";"0";"Graduate Professional";"35";"737397";"185386";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"G. Venkatesh Bhov";"IND";"0";"10th Pass";"53";"3532000";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Khan Abdul Razack";"BSP";"0";"10th Pass";"36";"3708254";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Mahadeva Swamy. B. M";"Bharatiya Dr. B.R.Ambedkar Janta Party";"0";"12th Pass";"31";"812200";"586200";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Nandan Nileka";"INC";"0";"Graduate Professional";"58";"77102957219";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Nina P Nayak";"AAP";"0";"Post Graduate";"60";"35129117";"1000000";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Prabhu";"IND";"0";"Literate";"44";"90000";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Pramod Mutalik";"IND";" 8";"Graduate";"59";"268756";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"R Gayath";"Pyramid Party of India";"0";"Post Graduate";"63";"2973000";"300000";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Ravikumara T";"SP";"0";"Graduate Professional";"31";"25140";"28000";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Ruth Manorama";"JD(S)";"0";"Post Graduate";"61";"14950943";"1189000";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Shambulingegowda";"IND";"0";"8th Pass";"52";"1222243";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Shivashankar. G. R.";"AIFB";"0";"Post Graduate";"62";"32522829";"7800000";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Syed Mehaboob";"JD(U)";"0";"12th Pass";"44";"5572310";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Syed Rafiq Ahmed";"IND";"0";"5th Pass";"58";"1981000";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"T. E. Moses";"IND";"0";"Not Given";"69";"7963850";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Thulasappa Dasa";"IND";"0";"Post Graduate";"44";"1280000";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Umadevi. M";"SUCI(C)";" 1";"Post Graduate";"44";"469430";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Yogesh";"IND";"0";"10th Pass";"31";"25000";"0";"No";"BANGALORE SOUTH";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
