"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ramesh Jigajinagi";"BJP";" 2";"Graduate";"64";"89429828";"5305043";"Yes";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Bhagwan Kambal";"RPI(A)";"0";"5th Pass";"64";"906668";"150000";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Dr Rajesh Alias Ravi Vallyapu";"IND";"0";"Graduate Professional";"42";"12208000";"0";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Hanmanth Hol";"IND";" 1";"12th Pass";"32";"141500";"0";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"K Shivram";"JD(S)";"0";"Post Graduate";"61";"26203570";"0";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Maraganna Hunnu";"IND";"0";"Graduate";"56";"375000";"0";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Prakash Rathod";"INC";" 3";"Post Graduate";"53";"113403666";"27599682";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Raju Padaganu";"IND";"0";"10th Pass";"36";"680000";"10000";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Rudresh Dayappa Dodama";"IND";"0";"Post Graduate";"50";"2090000";"400000";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Satish Asangihal";"IND";"0";"Graduate Professional";"26";"20500";"0";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Shridhar Narayanka";"AAP";"0";"Others";"34";"9261841";"2133500";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Siddappa Ganj";"IND";"0";"12th Pass";"61";"128000";"0";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Srikant Arak";"Karunaadu Party";"0";"Graduate";"46";"875500";"390000";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
"Sudhakar Kanamad";"BSP";"0";"Graduate";"59";"13314500";"527933";"No";"BIJAPUR";"KARNATAKA";"2014";"Loksabha";"No Comment"
