"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"B.v.nayak";"INC";"0";"Graduate Professional";"48";"73502466";"0";"Yes";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Arakera Shivanagouda Nayak";"BJP";" 1";"Graduate";"37";"45433720";"7544250";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Bhagvantappa";"Lok Satta Party";"0";"Illiterate";"62";"609998";"66000";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Bhimaraya";"AAP";"0";"10th Pass";"62";"2885000";"65000";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Chinnayyanaik";"IND";"0";"12th Pass";"46";"1658400";"0";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"D.b.nayak";"JD(S)";" 1";"Graduate";"62";"10591888";"0";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"K Somasheka";"SUCI(C)";"0";"Graduate";"48";"3539";"0";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Marut";"National Development Party";"0";"Graduate Professional";"38";"50000";"0";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Nagaraj";"CPI(ML) Red star";"0";"12th Pass";"29";"901500";"114611";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Raja Thimmappa Nayak";"BSP";"0";"12th Pass";"74";"15732000";"100000";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
"Ranganayak";"Pyramid Party of India";"0";"10th Pass";"33";"555000";"16000";"No";"RAICHUR";"KARNATAKA";"2014";"Lok Sabha";"No Comment"
