"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Adv.joice George";"IND";" 4";"Post Graduate";"44";"17396207";"9417720";"Yes";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Adv.dean Kuriakos";"INC";" 1";"Not Given";"32";"314050";"411719";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Anish Mariyil";"IND";"0";"12th Pass";"42";"8569000";"0";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Appanchira Ponnappa";"BSP";"0";"10th Pass";"62";"7611000";"0";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Biju Joseph";"IND";"0";"10th Pass";"44";"1867208";"0";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Chittoor Rajamanna";"IND";"0";"Post Graduate";"55";"60222146";"1365374";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"James Joseph";"IND";"0";"10th Pass";"42";"375000";"67000";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Joice Georg";"IND";"0";"Post Graduate";"26";"1290000";"0";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Joyce Georg";"IND";"0";"10th Pass";"32";"1034810";"0";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Muhammed Sharafudh";"SDPI";"0";"Graduate";"39";"415000";"280000";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"P.c.jolly";"IND";"0";"12th Pass";"49";"16991308";"5500000";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Sabu Varghes";"BJP";"0";"Graduate Professional";"51";"9755000";"386540";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Shoby Joseph";"IND";" 1";"Others";"28";"10500";"151600";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Silvi Sunil";"AAP";"0";"Others";"38";"3080470";"45000";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"Somini Prabhakara";"IND";"0";"10th Pass";"45";"67800";"10000";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
"T.k.tomy";"CPI(ML) Red star";"0";"Others";"41";"404000";"0";"No";"IDUKKI";"KERALA";"2014";"Lok Sabha";"No Comment"
