"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"N.k.premachandran";"RSP";" 1";"Graduate Professional";"53";"16228989";"3114638";"Yes";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"A. Josekutty";"IND";"0";"10th Pass";"58";"545117";"224328";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"A.k.salahud";"SDPI";" 1";"12th Pass";"45";"6562365";"0";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"Adv.s.prahlada";"BSP";"0";"Graduate Professional";"58";"21645000";"0";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"C. Indulal Ex-service Ma";"IND";"0";"10th Pass";"48";"1209850";"0";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"K. Bhaskara";"IND";" 1";"Graduate";"66";"6313287";"108453";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"M. Baby";"IND";"0";"10th Pass";"61";"1871596";"0";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"M.a. Baby";"CPI(M)";" 2";"Graduate";"59";"6430619";"625000";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"P.m. Velayudha";"BJP";"0";"10th Pass";"61";"5927000";"750000";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"Premachandra";"IND";"0";"10th Pass";"44";"71500";"0";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
"Premachandra";"IND";" 1";"10th Pass";"58";"2605267";"0";"No";"KOLLAM";"KERALA";"2014";"Loksabha";"No Comment"
