"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Nandkumar Singh Chouhan";"BJP";"0";"Post Graduate";"61";"40188989";"9561188";"Yes";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Alok Agarwal";"AAP";" 2";"Graduate Professional";"46";"12871";"0";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Arun Subhash Chandra Yadav";"INC";" 2";"Graduate";"40";"318304270";"59900980";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Baba Abdul Hamid";"IND";"0";"Not Given";"75";"28285000";"0";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Bhaiyalal Uikey";"GGP";"0";"Literate";"50";"3265000";"500000";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Dr. Rameshsingh Solank";"Prajatantrik Samadhan Party";"0";"Graduate";"50";"3800000";"2375000";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Isamuddin Saiyyed";"Samata Party";" 1";"Literate";"50";"16436850";"0";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Kashinath Upadhyay";"IND";"0";"Graduate";"71";"3182000";"0";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Nand Lal Singh Chouha";"IND";"0";"10th Pass";"57";"3366500";"100000";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Nandlal Singh Chouhan (nandu Bhaiya)";"IND";"0";"5th Pass";"46";"420000";"450000";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Sanjay S/o Laxman Solank";"BSP";" 1";"Graduate";"32";"3646000";"830000";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Sheikh Sharif";"Akhil Bhartiya Vikas Congress Party";" 1";"Literate";"37";"414351";"0";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Vinod Kumar Bhagwan Birad";"RPI(A)";"0";"Graduate";"38";"25000";"0";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ziauddin Inamda";"Bahujan Mukti Party";" 2";"10th Pass";"42";"1698000";"800000";"No";"KHANDWA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
