"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sudhir Gupta";"BJP";"0";"Post Graduate";"54";"57429237";"3058993";"Yes";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Bano B";"Bharatiya Minorities Suraksha Mahasangh";"0";"Illiterate";"70";"34000";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Banshilal Patida";"Bahujan Sangharshh Dal";" 1";"5th Pass";"57";"3564058";"2035000";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ismil";"IND";"0";"5th Pass";"49";"30000";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Mangilal Urf Kranti Parivarta";"BSP";"0";"Post Graduate";"32";"234900";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Meenakshi Nataraja";"INC";" 1";"Post Graduate";"40";"4682146";"234415";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Meenakshi Pand";"IND";"0";"8th Pass";"34";"100548";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Minakshi Chouha";"IND";"0";"12th Pass";"36";"65000";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Nilesh Tiwa";"IND";"0";"Post Graduate";"38";"1156972";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Paras Dada Saklecha";"AAP";" 2";"Post Graduate";"59";"4657101";"136232";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Pro. Purushottam Meghwal";"IND";" 1";"Post Graduate";"39";"6150367";"2307000";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Radheshyam Gehlot (raju Malviya)";"Bahujan Mukti Party";"0";"Graduate";"41";"9536000";"3500000";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Shaikh Azizuddin Quraish";"AIFB";"0";"Post Graduate";"70";"5000";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Sudhir Gautam";"IND";"0";"5th Pass";"30";"371500";"0";"No";"MANDSOUR";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
