"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Gyan Singh";"BJP";"0";"5th Pass";"65";"12659495";"0";"Yes";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Amarpal";"IND";"0";"8th Pass";"66";"37000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Amit Padvar Advocat";"Bhartiya Shakti Chetna Party";"0";"Graduate Professional";"36";"2464776";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Anuradha Patl";"IND";"0";"8th Pass";"37";"174000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Bhai Bimal Baiga";"IND";"0";"8th Pass";"40";"1300000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Ghamaklal Banwas";"IND";"0";"Literate";"64";"13000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Heera Singh Markam";"Gondvana Gantantra Party";" 2";"Post Graduate";"82";"1240138";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Himadri Dalbir Singh";"INC";"0";"Graduate";"29";"30656426";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Kailash Kol";"All India Christian Democratic And Backward P";"0";"8th Pass";"29";"45000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Komal Baiga";"IND";"0";"8th Pass";"32";"111000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Krishanpal Singh Pavel";"LJP";"0";"12th Pass";"36";"250000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Parmeshwar Singh Port";"CPI";"0";"8th Pass";"35";"517500";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Parwati Singh Marvat";"IND";"0";"Graduate Professional";"25";"12000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Ram Sundar Baiga";"IND";"0";"5th Pass";"43";"2239100";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Sajjan Singh Prast";"Apna Dal";"0";"8th Pass";"36";"1645000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Sheshram Baiga";"IND";"0";"12th Pass";"42";"650000";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Shiv Charan Paw";"IND";"0";"5th Pass";"54";"1955500";"0";"No";"SHAHDOL (ST)";"MADHYA PRADESH";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
