"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Riti Pathak";"BJP";"0";"Post Graduate";"36";"33416561";"0";"Yes";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Asha Singh";"Rashtriya Apna Dal";"0";"10th Pass";"36";"67500";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Bhagawati Charan Pandey(neelu)";"IND";"0";"Graduate";"36";"3425500";"100000";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Brahmanand Pratap Singh";"IND";"0";"Graduate";"25";"0";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Indrajeet Kuma";"INC";"0";"Graduate";"68";"62690091";"2494561";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Lal Bahadur Singh";"Samata Samadhan Party";"0";"10th Pass";"63";"312000";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Mohd. Jahangeer Ansa";"IND";"0";"Not Given";"43";"56300";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Pankaj Singh Patel";"AAP";"0";"Post Graduate";"28";"144766";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Puspendra Singh";"GGP";" 1";"Graduate Professional";"45";"10453934";"2020000";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Ramakant Pandey Malaihna";"IND";"0";"Post Graduate";"68";"515000";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Ramashankar Shahwal";"BSP";"0";"Post Graduate";"36";"9743656";"1092000";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Sanat Kumar Tripath";"Bhartiya Shakti Chetna Party";" 1";"12th Pass";"48";"1615000";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Sunil So";"Bahujan Sangharshh Dal";"0";"12th Pass";"37";"281653";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
"Urmila";"CPI(ML) Red star";"0";"Graduate";"36";"100000";"0";"No";"SIDHI";"MADHYA PRADESH";"2014";"Lok Sabha";"No Comment"
