"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Virendra Kumar";"BJP";"0";"Doctorate";"60";"9364635";"0";"Yes";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ambesh Kuma";"SP";" 1";"Doctorate";"38";"15710045";"3255734";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Bhagwan Das";"IND";"0";"10th Pass";"35";"656000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Chaturbhuj Sneh";"IND";"0";"12th Pass";"53";"0";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ganesh";"IND";"0";"5th Pass";"43";"20000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Girdha";"IND";"0";"12th Pass";"38";"1403342";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Kamlesh Kuma";"INC";"0";"Doctorate";"36";"329992919";"84598565";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Lakhan Lal";"IND";"0";"12th Pass";"43";"482600";"70000";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Neeraj";"CPI";"0";"8th Pass";"26";"461000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ram Charan Ahirwa";"Poorvanchal Rashtriya Congress";"0";"12th Pass";"52";"4650000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ramesh Chand Verma";"AAP";"0";"Graduate Professional";"62";"1698238";"325000";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Sewak Ram Ahirwa";"BSP";" 1";"12th Pass";"44";"1982450";"29199";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Sheel Chandra Ahirwa";"IND";"0";"10th Pass";"38";"373600";"34000";"No";"TIKAMGARH";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
