"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Chintamani Malviya";"BJP";"0";"Doctorate";"44";"18888754";"5483153";"Yes";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Aneeta Hindoliya";"AAP";"0";"Post Graduate";"39";"5760417";"1564210";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Anil Pal";"Bahujan Sangharshh Dal";"0";"Graduate Professional";"28";"507000";"250000";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ashok";"IND";"0";"12th Pass";"55";"70000";"0";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Bhanwarlal";"Jai Maha Bharath Party";"0";"10th Pass";"62";"32904";"0";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Brajmohan Malviya";"Prajatantrik Samadhan Party";"0";"Graduate Professional";"26";"882436";"120000";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Lalchand";"IND";"0";"12th Pass";"59";"5915000";"0";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Nandlal Chauha";"Bahujan Mukti Party";"0";"12th Pass";"68";"8829056";"0";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Premchand Guddu";"INC";" 3";"10th Pass";"46";"535213275";"2221000";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Radheshayam Panava";"AIFB";"0";"10th Pass";"52";"5065700";"0";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ramprasad Jatwa";"BSP";"0";"Graduate";"33";"200900";"0";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Surendra Meha";"IND";" 2";"10th Pass";"31";"282100";"0";"No";"UJJAIN";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
