"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sushma Swaraj";"BJP";"0";"Graduate Professional";"62";"175516422";"6500000";"Yes";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Amar Singh Patel";"BSP";"0";"12th Pass";"46";"311829";"27310";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Babu Lal";"Samata Samadhan Party";"0";"8th Pass";"38";"260700";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Chandresh Singh";"IND";"0";"10th Pass";"39";"42613";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Engineear Bhagwat Singh Rajput";"AAP";"0";"Others";"57";"2513476";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ganesh Rajak";"Samata Party";"0";"12th Pass";"33";"560000";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Kamlesh Sallam";"GGP";"0";"5th Pass";"42";"620000";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Lakshman Singh";"INC";"0";"Graduate";"59";"83783624";"17068702";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Manoj Kumar Yadav";"SP";"0";"Post Graduate";"33";"3545837";"740000";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Narmada Prashad Ahirwa";"Bahujan Mukti Party";"0";"5th Pass";"60";"3862000";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Ramdayal Ko";"IND";"0";"10th Pass";"46";"1117500";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
"Shoiab Kha";"Prajatantrik Samadhan Party";"0";"12th Pass";"29";"50000";"0";"No";"VIDISHA";"MADHYA PRADESH";"2014";"Loksabha";"No Comment"
