"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Chandrakant Bhaurao Khaire";"SHS";" 8";"12th Pass";"62";"90614560";"20307244";"Yes";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ahamad Aziz Ahamad Mat";"IND";"0";"8th Pass";"53";"240000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ankush Munjaji Tupsamund";"IND";"0";"Literate";"39";"5110000";"1942";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Balasaheb Asaram Sarat";"IND";"0";"Post Graduate";"45";"5849936";"1955530";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Balasaheb Vitthal Awa";"IND";"0";"10th Pass";"49";"1831343";"16000";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Bansode Udhav Govardha";"IND";"0";"Graduate";"31";"615000";"600000";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Banswal Mannalal Premchand";"Prabuddha Republican Party";"0";"Not Given";"47";"65000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Bhanudas Ramdas Sarod";"IND";"0";"Not Given";"39";"0";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Dandge Nanasaheb Damodha";"IND";"0";"Graduate";"44";"1335000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Dr. Feroz Khan Murtuza Kha";"IND";"0";"Doctorate";"44";"21375000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Gayake Sadashiv Ambadas";"SP";" 4";"Graduate Professional";"64";"12025302";"227000";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Jadhav Pushpa Shantilal";"Ambedkar National Congress";"0";"Illiterate";"40";"294744";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Jagdip Vishwanath Shind";"IND";"0";"Graduate Professional";"31";"21000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Jawaharlal Laxman Bhagu";"IND";"0";"10th Pass";"30";"448217";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Jevrikar Indrakumar Dnyanoba";"BSP";"0";"Graduate";"40";"13071000";"2200000";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Kailas Chandrabhan Dhengd";"IND";"0";"10th Pass";"36";"17200";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Khudus Samad";"Bahujan Mukti Party";"0";"10th Pass";"32";"41890";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Mohmmad Kismatwala Kasim Kismatwala";"Gareeb Aadmi Party";"0";"8th Pass";"37";"635000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Nadeem Rana";"IND";"0";"12th Pass";"40";"3250000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Nandarkar Vishal Uddhav";"IND";"0";"10th Pass";"29";"1088000";"60000";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Patil Nitin Suresh";"INC";" 7";"Graduate";"44";"150699930";"13163583";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Phulare Suresh Asaram";"IND";"0";"12th Pass";"33";"497750";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Raju Baburao Dol";"IND";"0";"Graduate";"44";"16149796";"3435981";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sayyad Shafiyoddin Vahiyodd";"Welfare Party Of India";"0";"10th Pass";"46";"75000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Shaik Sayyad Shaik Mahmood";"IND";"0";"5th Pass";"33";"451000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Subhash Kalyanrao Lomt";"AAP";"0";"Post Graduate";"62";"11681447";"258000";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Tribhuvan Madhukar Padmaka";"IND";"0";"12th Pass";"45";"2193000";"0";"No";"AURANGABAD";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
