"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rajeev Shankarrao Satav";"INC";"0";"Graduate Professional";"39";"49681499";"584357";"Yes";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"D.b.naik";"CPI(M)";" 1";"Graduate";"47";"4071000";"470000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Deshmukh Balasaheb Desa";"IND";"0";"Not Given";"45";"680000";"50000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Devji Gangaram Asol";"IND";"0";"Graduate Professional";"60";"195500";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Dhabe Uttam Marot";"IND";"0";"Literate";"55";"1241000";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Ghunnar Prakash Vitthalrao";"IND";"0";"12th Pass";"55";"10572325";"300000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Jadhav Chunnilal Moha";"BSP";"0";"Graduate Professional";"44";"8401100";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Naikwade Digambar Gunaj";"IND";"0";"5th Pass";"60";"100000";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Principal Dr.vithal Namdeorao Kadam";"AAP";"0";"Doctorate";"59";"9525025";"926227";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Ramrao Harising Rathod";"Bharipa Bahujan Mahasangha";" 1";"10th Pass";"62";"8884209";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Santosh Namdeorao Sag";"Awami Vikas Party";"0";"Others";"38";"1671000";"1035000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Satav Atmaram Raghoj";"IND";"0";"8th Pass";"42";"500";"500";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Satav Raju Shanka";"IND";" 1";"Literate";"38";"139000";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Shaikh Nayeem Shaikhlal";"SP";"0";"12th Pass";"48";"9355936";"270817";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Suraj Vishwanath Kondarwad";"IND";"0";"Graduate Professional";"35";"0";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Suryawanshi Ashok Bhagwanrao";"IND";"0";"Graduate Professional";"55";"10055500";"175000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Uttam Rathod";"IND";"0";"12th Pass";"59";"2500000";"1180000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Uttamrao Pandurang Rathod";"Bahujan Mukti Party";"0";"Graduate Professional";"61";"8148200";"458000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"ankhede Subhash";"IND";"0";"5th Pass";"45";"1030500";"0";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"ankhede Subhash Bapurao";"SHS";" 1";"10th Pass";"51";"29064000";"3541000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"ankhede Subhash Nagorao";"JD(U)";" 1";"5th Pass";"53";"1776500";"100000";"No";"HINGOLI";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
