"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Patil Ashok Tapiram";"BJP";"0";"Graduate";"52";"226180395";"0";"Yes";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Abrar Beg Sarvar Beg Mirza";"RPI";"0";"8th Pass";"28";"85000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Adv.shinde Ashok Dagdu";"Prabuddha Republican Party";"0";"Post Graduate";"32";"50000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Ashok Tarachand Patil";"IND";"0";"Literate";"55";"4501297";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Bagul Vedu Tanaj";"BSP";"0";"Literate";"56";"960000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Bahadur Ragib Ahamed";"SP";"0";"Post Graduate";"36";"278918";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Deshmukh Iqbal A. Rehma";"IND";"0";"5th Pass";"47";"130500";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Dr.mubeen Ahmad";"IND";" 1";"Others";"47";"22500";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Dr.satish Bhaskarrao Patil";"NCP";" 1";"Graduate";"58";"46486689";"7296297";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Ishwar Dayaram Mo";"Bahujan Mukti Party";" 2";"Graduate";"50";"5390000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Lalit Gaurishankar Sharma";"IND";"0";"10th Pass";"30";"1425150";"150000";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Mango Pundlik Paga";"Rashtravadi Janata Party";"0";"Doctorate";"48";"55000";"30000";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Patil Sandeep Yuvraj";"IND";"0";"12th Pass";"28";"0";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Patil Sangram Gokulsingh";"AAP";"0";"Post Graduate";"37";"17098312";"3818000";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Patil Suresh Padurang";"Hindustan Janta Party";"0";"10th Pass";"55";"50000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Satish Bhaskar Patil (mudi Pra Dangri, Tal.amalner)";"IND";"0";"12th Pass";"27";"50000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Satish Bhaskar Patil (nandgaon Bk, Tal.erandol)";"IND";"0";"Illiterate";"28";"100000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Satish Bhaskar Patil (varkhedi, Tal.erandol)";"IND";"0";"5th Pass";"30";"100000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Sau.asha Sahebrao Patil";"Maharashtra Parivartan Sena (T)";"0";"12th Pass";"38";"115000";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Vijay Bhimrao Nikam";"IND";"0";"12th Pass";"25";"30500";"0";"No";"JALGAON";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
