"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Danve Raosaheb Dadarao";"BJP";" 4";"Graduate";"60";"184411862";"8534130";"Yes";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ad. Mahesh Vitthalrao Kharat";"IND";"0";"Post Graduate";"41";"123000";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Agrawal Kunjbihari Jugalkisho";"SP";" 4";"Graduate";"55";"50158221";"272883";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ashok Vitthal Sonwa";"IND";" 1";"Graduate";"45";"821000";"700000";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Autade Vilas Keshavrao";"INC";" 1";"12th Pass";"45";"130505302";"1056950";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Babasaheb Patil Shind";"IND";"0";"10th Pass";"58";"351070";"98300";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Kakarwal Pratapsing Mahaja";"IND";"0";"Graduate";"30";"1671107";"69052";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Karande Ganesh Navnathrao";"IND";"0";"Post Graduate";"28";"2040000";"970000";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"M. Javed A. Wahab";"IND";"0";"12th Pass";"29";"10510000";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Mhaske Dilip Datta";"AAP";"0";"Post Graduate";"46";"766000";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Mirza Afsar Beg";"Welfare Party Of India";"0";"5th Pass";"52";"1756142";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Mohammad Asad Shaikh Ahemad";"Minorities Democratic Party";"0";"8th Pass";"63";"4523000";"442455";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Nade Dnyaneshwar Dagduj";"IND";"0";"8th Pass";"43";"5000";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Rambhau Vitthal Chincho";"IND";"0";"10th Pass";"65";"50000";"200000";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Rathod Ramesh Lalsing";"Bahujan Mukti Party";"0";"10th Pass";"34";"1958026";"81000";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sanjay Nivrutti Hivral";"Ambedkar National Congress";"0";"8th Pass";"36";"401000";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sapkal Lilabai Dharma";"IND";"0";"Not Given";"46";"410000";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sayyad Husain Ahmad";"IND";"0";"Literate";"45";"490000";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ugle Ram Haribhau";"Rashtriya Sant Sandesh Party";"0";"10th Pass";"51";"17863200";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Unge Rambhau Kundlik";"IND";"0";"Post Graduate";"39";"9428900";"105990";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Vitthal Sahebrao Shelk";"Ambedkarite Party of India";"0";"Post Graduate";"29";"0";"0";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"ankhede Sharadchandra Ganapatrao";"BSP";" 1";"Post Graduate";"60";"28995248";"950000";"No";"JALNA";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
