"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr.shrikant Eknath Shinde";"SHS";"0";"Graduate Professional";"27";"998000";"0";"Yes";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Anand Prakash Pranjap";"NCP";" 4";"Post Graduate";"40";"35920212";"3379297";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Anil Motiram Mo";"Bahujan Mukti Party";"0";"Graduate Professional";"52";"2828101";"158609";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Asmita Pushkar Puranik";"IND";"0";"12th Pass";"35";"1391585";"0";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Belamkar Milind Chandrakant";"Lok Bharati";"0";"10th Pass";"50";"13238000";"4000000";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Dilip Prabhakar Alo";"IND";" 1";"Post Graduate";"58";"7600000";"198000";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Hameed Mohammad Gulamhussain Sayyed";"SP";"0";"8th Pass";"40";"76138101";"15207081";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Khan Mohammed Ahmed";"IND";" 5";"10th Pass";"48";"200000";"0";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Kiratkar Dayanand Tulshiram";"BSP";" 1";"12th Pass";"52";"3768000";"251108";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Mote Chandrakant Rambhaj";"IND";"0";"10th Pass";"52";"5536065";"325500";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Naresh Arvind Thaku";"AAP";"0";"Post Graduate";"29";"3157123";"6270";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Patil Pramod Rata";"MNS";"0";"10th Pass";"39";"85592187";"27664328";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Prakash Shamrao Telgot";"IND";"0";"10th Pass";"43";"612819";"0";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Rasal Shashikant Dada";"IND";"0";"8th Pass";"39";"70000";"0";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Shamu Ramu Bhosal";"Bharipa Bahujan Mahasangha";"0";"10th Pass";"61";"3278000";"111684";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Shiva Krishnamurthy Iya";"IND";"0";"Post Graduate";"51";"17557000";"0";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Sonkamble Sulochana Dharmendra";"Republican Bahujan Sena";" 1";"Literate";"47";"1289000";"0";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Sudhakar Narayan Shind";"Ambedkarite Party of India";" 1";"Post Graduate";"60";"28647744";"0";"No";"KALYAN";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
