"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sawant Arvind Ganpat";"SHS";" 1";"Graduate";"62";"13132841";"0";"Yes";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Abdul Basit Ibrahim Faith";"IND";"0";"Graduate";"43";"888656";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Abdul Latif Abdul Kadir Shaikh";"IND";" 3";"8th Pass";"50";"3393500";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Bala Dagadu Nandgaonka";"MNS";" 8";"10th Pass";"56";"77108523";"1921378";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Deora Milind Murl";"INC";"0";"Graduate";"38";"408001069";"59250670";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Desai Rajendra Daulat";"IND";"0";"8th Pass";"53";"113800";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Jaheda Mohammad Haneef Shaikh";"IND";"0";"8th Pass";"41";"5200000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Jitendra Kamabhai Kataria";"IND";"0";"Graduate";"49";"73000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Kalim Khurshid Baig Mirza";"The Lok Party of India";"0";"5th Pass";"41";"170000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Khan Abdus Salam Kasm";"BSP";"0";"Others";"56";"2351000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Meera Ashish Sanyal";"AAP";"0";"Post Graduate";"52";"509461553";"13849761";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Omraj Lokish Rathod";"IND";"0";"Graduate Professional";"37";"585000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Prakash Gangaram Reddy";"CPI";" 1";"Graduate Professional";"63";"23829258";"280159";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Ratan Devram Bodak";"IND";"0";"10th Pass";"61";"6560000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Sachin Narayan Pawa";"Bahujan Mukti Party";"0";"12th Pass";"37";"914709";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Santan Daigo Farnandis";"IND";"0";"12th Pass";"31";"149000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Shahzad Shamsher Khan Patha";"Awami Vikas Party";"0";"Graduate";"32";"33086273";"1275000";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Shankar Gangadhar Sonawa";"IND";"0";"10th Pass";"46";"4237600";"16663";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Sharma Gaurav Shrinivas";"IND";"0";"8th Pass";"31";"318305";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Shehbaj Allahuddin Rathod";"Jai Maha Bharath Party";"0";"5th Pass";"43";"11873000";"0";"No";"MUMBAI SOUTH";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
