"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Shri Chavan Ashokrao Shankarrao";"INC";"0";"Post Graduate";"55";"388758910";"30513286";"Yes";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Adv. Deelip Kulka";"IND";"0";"Graduate Professional";"46";"2990000";"50000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Altaf Ahamad Iqbal Ahmad";"IUML";"0";"Graduate";"48";"4462742";"571000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Bochare Shankar Mahadj";"IND";"0";"10th Pass";"65";"7978374";"761000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Feroz Khan Gaz";"IND";"0";"12th Pass";"49";"3482000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ghunnar Prakash Vitthalrao";"IND";"0";"12th Pass";"55";"10572325";"300000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Granthi Narendrasingh Anmolsingh";"AAP";"0";"Graduate";"43";"14385756";"36503";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Hanumante Dhondopant Nagorao";"IND";"0";"Post Graduate";"42";"1075000";"26000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Hanumante Vijay Chandrao";"IND";"0";"8th Pass";"40";"86000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Mohd. Maroof Ab. Rauf";"IND";"0";"12th Pass";"33";"568655";"112000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Pathan Jafar Ali Kha Md. Ali Kha";"IND";"0";"12th Pass";"72";"3642000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Pawar (patil) Digambar Bapuj";"BJP";"0";"12th Pass";"62";"43054709";"1538191";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Rajratna Ambedka";"Bahujan Mukti Party";"0";"Post Graduate";"31";"4040148";"450000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ramchandra Gangaram Bharand";"IND";"0";"Post Graduate";"37";"100000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ramchandra Gyanoba Sawant";"Bharipa Bahujan Mahasangha";"0";"10th Pass";"61";"176000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sayyad Tanvir Sayyad Hamja";"Majlis Bachao Tahreek";"0";"8th Pass";"31";"50000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Shaikh Afajaloddin Azimodd";"Lok Bharati";"0";"Not Given";"36";"1650000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Shinde Balaji Vishwanathrao";"SP";"0";"Graduate Professional";"54";"18406800";"3237539";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sontakke Laxman Kisha";"IND";"0";"12th Pass";"52";"10000";"0";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Suryawanshi Dattaram Balaj";"IND";"0";"8th Pass";"47";"7263132";"841037";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Vaidy Hansraj Dadarao";"BSP";"0";"Graduate Professional";"66";"24105918";"1000000";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Venugopal Shastri Tumulu";"IND";"0";"Graduate Professional";"40";"5810377";"180068";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"adje Panjab Shriha";"IND";" 7";"Graduate";"52";"65425728";"17401655";"No";"NANDED";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
