"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Godse Hement Tukaram";"SHS";" 1";"Others";"43";"83628253";"23559648";"Yes";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Ad. Tanaji Sukdeo Jaibhav";"CPI(M)";"0";"Graduate Professional";"52";"7279479";"2369620";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Avhad Mahesh Zunja";"AIFB";"0";"10th Pass";"43";"0";"0";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Bhujbal Chhagan Chandrakant";"NCP";" 1";"10th Pass";"66";"217559536";"350000";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Fasale Baban Namdev";"IND";"0";"10th Pass";"29";"101000";"0";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Jadhav Vishnu Ramdas";"IND";"0";"5th Pass";"32";"663219";"0";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Maksud Iliyas Kha";"IND";" 1";"10th Pass";"38";"134285";"530000";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Nathekar Pramod Gyaniram";"IND";"0";"10th Pass";"48";"253000";"96000";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Pandhare Vijay Baliram";"AAP";"0";"Graduate Professional";"58";"16620000";"0";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Pathan Ayub Maddekha";"IUML";"0";"Graduate Professional";"45";"2842358";"84885";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Pathan Sakhawatkha Yasinkha";"Bahujan Mukti Party";"0";"Graduate";"63";"3610000";"325000";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Patil Dinkar Dharma";"BSP";" 8";"8th Pass";"53";"65166950";"288076";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Pawar Pradeepchandra Naraya";"MNS";" 12";"Others";"49";"335123791";"38008797";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
"Sarkate Devidas Piraj";"IND";"0";"12th Pass";"38";"57301";"0";"No";"NASHIK";"MAHARASHTRA";"2014";"Loksabha";"No Comment"
