"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Gawali Bhavana Pundlikrao";"SHS";" 4";"Graduate";"41";"60886040";"7368967";"Yes";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Abrar Ahmad Mahmud Kha";"Welfare Party of India";"0";"Others";"52";"6299991";"700000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Adv.shivajirao Shivaramji Mogh";"INC";" 2";"Graduate Professional";"69";"42689718";"11315807";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ahmad Parvez Iqbal Ahmad Nur Mohammad";"SP";" 1";"Graduate";"44";"3957500";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Chavan Vinod Naraya";"IND";"0";"10th Pass";"59";"3361500";"570000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Dhote Jambuwantrao Bapurao";"AIFB";"0";"10th Pass";"76";"6545000";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Gaikawad Rajendra Vitthal";"IND";" 1";"12th Pass";"41";"30250";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Gurnule Ramesh Vithoba";"IND";"0";"8th Pass";"57";"85000";"530";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Kamble Uttam Bhagaj";"Prabuddha Republican Party";"0";"Post Graduate";"46";"0";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Meshram Dnyaneshwar Tukaram";"IND";"0";"Graduate";"37";"133000";"39060";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Naresh Mahadeorao Gugha";"IND";"0";"8th Pass";"40";"65000";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Patil Upendra Babarao";"IND";"0";"Graduate Professional";"40";"3675000";"315000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Prakash Raghunath Raut";"IND";"0";"10th Pass";"46";"250000";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Prashant Pandharinath Surv";"IND";"0";"Post Graduate";"39";"26770200";"4600000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Raghunath Shankarrao Shelk";"Ambedkarist Republican Party";"0";"Graduate";"60";"9692000";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Raju Or Bharatraje Uddhaorao Patil";"MNS";" 6";"Graduate";"38";"25700000";"1400000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Rathod Baliram Parashram";"BSP";"0";"Graduate Professional";"58";"26249301";"2106000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Rathod Induwar Kashiram";"Bahujan Mukti Party";"0";"12th Pass";"42";"5950000";"210000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Rathod Mohan Mallu";"Bharipa Bahujan Mahasangha";"0";"Post Graduate";"61";"34013105";"1750000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Rathod Naresh Fulsing";"AAP";"0";"Graduate Professional";"41";"2030000";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sawake Ramkrushna Pundlikrao";"CPI(ML) Red star";"0";"10th Pass";"38";"612264";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Shaikh Jabbar Shaikh Usuf";"IND";"0";"8th Pass";"36";"500";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Shyamkumar Bapurao Lokhand";"IND";"0";"Graduate";"46";"3564000";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Sudhakar Namdeorao Ghayawa";"Republican Party of India (Khobragade)";"0";"12th Pass";"60";"4025000";"400000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Suresh Rajaram Mukhmal";"Maharashtra Vikas Aghadi";"0";"12th Pass";"33";"3280000";"0";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
"Ulhas Vasramji Jadhao";"IND";"0";"Graduate Professional";"49";"5394200";"850000";"No";"YAVATMAL WASHIM";"MAHARASHTRA";"2014";"Lok Sabha";"No Comment"
