"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Thangso Baite";"INC";"0";"Post Graduate";"61";"5947000";"880000";"Yes";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Amarson Sankhil";"IND";"0";"Post Graduate";"46";"857093";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Chungkhokai Doungel";"NCP";"0";"Graduate";"76";"6685000";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Gangmumei Kam";"BJP";"0";"Post Graduate";"73";"10656364";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Kim Gangt";"AITC";"0";"Post Graduate";"51";"10150000";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Lamlalmoi@ Momoi Gangt";"IND";"0";"Graduate";"38";"800000";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Lamminlien Gangt";"JD(U)";"0";"Illiterate";"43";"5177000";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"M Khamchinpau Zou";"AAP";"0";"Post Graduate";"50";"1010616";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Mani Charenam";"IND";"0";"Graduate";"55";"11422552";"1108000";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
"Soso Lorho";"NPF";"0";"Graduate";"72";"13445800";"0";"No";"OUTER MANIPUR";"MANIPUR";"2014";"Loksabha";"No Comment"
