"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Bhartruhari Mahatab";"BJD";"0";"Post Graduate";"57";"88834098";"0";"Yes";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Aparajita Mohanty";"INC";"0";"Graduate";"50";"27791663";"7903022";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Bikash Das";"AAP";"0";"Doctorate";"44";"19920752";"4700000";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Binapani Das";"SUCI(C)";"0";"12th Pass";"63";"127124";"0";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Jibesh Kishore Sundaray";"AITC";" 1";"10th Pass";"46";"12814048";"0";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Mahameghabahan Aira Kharabela Swa";"Aama Odisha Party";"0";"Post Graduate";"61";"3225000";"0";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Pramod Kumar Mallick";"BSP";"0";"Graduate";"40";"136000";"0";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Sabyasachi Mahapatra";"CPI(ML) Red star";"0";"Graduate";"31";"600";"0";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Samir Dey";"BJP";" 1";"Graduate Professional";"57";"19960747";"6719742";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
"Sanjay Kumar Sahoo";"IND";"0";"Others";"29";"1050960";"0";"No";"CUTTACK";"ORISSA";"2014";"Lok Sabha";"No Comment"
