"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Prof. Sadhu Singh";"AAP";"0";"Post Graduate";"73";"5879516";"70000";"Yes";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Badal Singh";"IND";"0";"8th Pass";"29";"50000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Darshan Singh";"SAD(A)(Simranjit Singh Mann)";"0";"5th Pass";"36";"412000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Gobind Singh";"RPI(A)";"0";"8th Pass";"34";"100000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Gurcharan Singh";"RPI";"0";"10th Pass";"59";"805000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Jarnail Singh";"Nav Bharat Democratic Party";" 1";"Illiterate";"47";"210124";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Jasveer Singh";"IND";"0";"Post Graduate";"38";"34921";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Joginder Singh";"INC";"0";"8th Pass";"55";"33499042";"883983";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Joginder Singh S/o Kesar Singh";"IND";"0";"Graduate";"75";"4696076";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Kashmir Singh";"CPI";"0";"Graduate";"46";"902000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Mangat Ram Manga";"SHS";"0";"Not Given";"42";"160000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Moti Lal";"Bharatiya Sant Mat Party";"0";"8th Pass";"45";"194500";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Paramjeet Kaur W/o Gurpreet Singh";"IND";"0";"Literate";"30";"230466";"100000";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Paramjit Kaur Gulsha";"SAD";"0";"Post Graduate";"65";"37637845";"4876412";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Paramjit Kaur W/o Amrik Singh";"Bahujan Mukti Party";"0";"10th Pass";"47";"60000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Reena Kuma";"IND";"0";"Illiterate";"30";"468268";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Sant Ram";"BSP";"0";"12th Pass";"54";"2092700";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Satpal Singh";"Indian Krantikari Lehar";"0";"Illiterate";"50";"1630000";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Seema Ra";"IND";"0";"Graduate Professional";"30";"212286";"0";"No";"FARIDKOT";"PUNJAB";"2014";"Lok Sabha";"No Comment"
