"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Vijay Sampla";"BJP";"0";"10th Pass";"52";"15164322";"4020543";"Yes";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Anoop Singh";"Bharti Jan Suraksha Party";"0";"10th Pass";"53";"4390000";"220000";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Anu Kuma";"IND";" 1";"12th Pass";"28";"91000";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Bhagwan Singh Chauha";"BSP";"0";"Graduate";"55";"4030849";"2640000";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Bishan Dass";"IND";"0";"10th Pass";"65";"5539310";"242610";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Davinder Singh";"IND";"0";"10th Pass";"36";"1329540";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Deepak Kuma";"Bahujan Mukti Party";"0";"10th Pass";"33";"5316000";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Jaswinder Singh";"SHS";"0";"5th Pass";"53";"1977048";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Lakhvir Singh";"Democratic Bharatiya Samaj Party";"0";"8th Pass";"51";"235000";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Mohinder Singh Kayp";"INC";"0";"Graduate Professional";"57";"70607263";"3769400";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Om Parkash Jakhu";"IND";"0";"5th Pass";"73";"58144";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Pawan Kuma";"IND";"0";"10th Pass";"30";"91000";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Ram Kisha";"IND";"0";"10th Pass";"62";"1293000";"165000";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Ravi Dutt";"IND";"0";"12th Pass";"43";"2362000";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Shamsher Singh";"SAD(A)(Simranjit Singh Mann)";"0";"Graduate Professional";"78";"1043500";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Vijay Kuma";"SARVAJAN SAMAJ PARTY (D)";"0";"Illiterate";"38";"861000";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
"Yamini Goma";"AAP";"0";"Graduate";"39";"1223000";"0";"No";"HOSHIARPUR";"PUNJAB";"2014";"Lok Sabha";"No Comment"
