"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ravneet Singh Bittu";"INC";"0";"12th Pass";"38";"31509170";"192000";"Yes";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Akshaybar Nath Mishra";"JD(U)";" 1";"Post Graduate";"48";"255200";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Bittu";"RPI(A)";"0";"Literate";"41";"180864";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Darshan Singh";"SHS";"0";"12th Pass";"43";"5022000";"170000";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Gurdeep Singh Kahlo";"IND";" 2";"Graduate Professional";"42";"9975000";"70000";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Hari Ram Sah";"AIFB";" 1";"8th Pass";"47";"4382738";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Harvinder Singh Phoolka";"AAP";"0";"Graduate Professional";"58";"108596036";"10210645";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Jai Parkash Ja";"IND";"0";"10th Pass";"34";"1034092";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Jaswinder Singh Bains";"IND";"0";"10th Pass";"27";"40000";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Kishan Kumar Sharma";"JKNPP";"0";"8th Pass";"38";"98000";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Kulwinder Pal Singh";"IND";"0";"Graduate Professional";"34";"1140000";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Manpreet Singh Ayal";"SAD";"0";"12th Pass";"39";"191314896";"5122189";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Mohammad Maksood Ansa";"Bahujan Mukti Party";"0";"Literate";"45";"10400000";"2950000";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Mohd. Naseem Ansa";"New All India Congress Party";"0";"12th Pass";"46";"107600";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Navjot Singh Manda";"BSP";"0";"Post Graduate";"40";"6071675";"200000";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Navpreet Singh Bed";"IND";" 1";"Post Graduate";"28";"9996000";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Raj Kumar Atwal";"IND";"0";"Graduate";"44";"1572847";"400000";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Rajiv Kumar Kalra";"IND";"0";"10th Pass";"43";"1478091";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Simarjeet Singh Bains";"IND";" 2";"Graduate";"43";"137823395";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Simerjit Singh";"IND";"0";"10th Pass";"28";"175000";"0";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Sukhwinder Singh Sekho";"CPI(M)";"0";"Graduate";"51";"4941720";"35000";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
"Tarsem Singh Banga";"IND";" 2";"5th Pass";"53";"2018300";"650000";"No";"LUDHIANA";"PUNJAB";"2014";"Loksabha";"No Comment"
