"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Raghu Sharma";"INC";"0";"Doctorate";"59";"24856695";"2560000";"Yes";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Advocate Ranjeeta Rawat";"Akhil Bhartiya Aamjan Party";"0";"Post Graduate";"39";"13000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Danaram Meharara Meghwansh";"IND";"0";"Post Graduate";"50";"40330000";"300000";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Ganpat";"IND";"0";"8th Pass";"69";"445000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Gul Mohammad";"IND";"0";"10th Pass";"32";"1122000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Hamid Husa";"IND";"0";"12th Pass";"48";"1030000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Hina";"IND";"0";"Graduate";"27";"2180000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Insaf Al";"IND";"0";"5th Pass";"50";"975000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Jagdish Bairwa";"IND";"0";"10th Pass";"54";"1140617";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Kamla Rawat";"IND";"0";"Illiterate";"43";"4640000";"550000";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Krishna Kumar Dadhich";"IND";"0";"Graduate Professional";"31";"3050000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Manohar Gurja";"Hindustan Shakti Sena";"0";"5th Pass";"31";"982000";"930490";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Mohammad Nasim";"IND";"0";"Graduate";"44";"75000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Mukesh Gena";"IND";"0";"Graduate Professional";"30";"1063500";"300000";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Naim Kha";"IND";"0";"5th Pass";"32";"138600";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Peerdan Singh";"IND";" 1";"8th Pass";"55";"1760000";"150000";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Ravindra Singh Shekhawat";"IND";"0";"Graduate";"37";"98000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Sahajad Al";"IND";"0";"8th Pass";"53";"650000";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Shahid Kha";"IND";"0";"10th Pass";"27";"135500";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Shivbhagwa";"Dalit Soshit Pichhara Varg Adhikar Dal";" 1";"8th Pass";"45";"3085000";"486022";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
"Surendra Kumar Ja";"IND";"0";"Graduate";"50";"1526568";"0";"No";"AJMER";"RAJASTHAN";"2014";"Lok Sabha";"BYE ELECTION ON 29-01-2018"
