"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Subhash Chandra Baheria";"BJP";"0";"Graduate";"57";"142870042";"8665902";"Yes";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Ashok Chandna";"INC";" 1";"Graduate";"29";"141642689";"89589191";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Aslam Shekh Advocat";"IND";"0";"Post Graduate";"38";"7290000";"0";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Chandra Prakash Goch";"Bharatiya Yuva Shakti";"0";"12th Pass";"42";"7612000";"60000";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Govind Kumar Bairwa";"BSP";"0";"8th Pass";"45";"2470000";"0";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Radhy Shyam Vaishnav";"Bahujan Sangharshh Dal";"0";"10th Pass";"42";"35000";"0";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Ratan Lal Dhob";"IND";"0";"Literate";"46";"1000";"0";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Satya Prakash Sharma";"IND";"0";"12th Pass";"41";"536875";"0";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Shyam Lal Salv";"IND";"0";"Post Graduate";"29";"999000";"55000";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Sunil Agiwal";"AAP";"0";"Graduate Professional";"47";"43218483";"11297000";"No";"BHILWARA";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
