"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Santosh Ahlawat";"BJP";"0";"Post Graduate";"57";"35897048";"5704000";"Yes";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Bhan Singh";"Bharatiya Sant Mat Party";"0";"10th Pass";"51";"452500";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Bhudar Mal";"AITC";"0";"Post Graduate";"53";"12290000";"100000";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Dr Rajkumar Sharma";"IND";" 4";"Doctorate";"40";"4537299";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Mahabeer Prasad Kumawat";"IND";"0";"10th Pass";"58";"1516293";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Om Prakash Jharoda";"CPI(ML)L";" 3";"10th Pass";"55";"230500";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Praveen Kuma";"IND";"0";"Post Graduate";"32";"10556850";"1355300";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"R S Kadya";"AAP";"0";"Post Graduate";"70";"130227500";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Rahisa Bano";"BSP";"0";"Literate";"35";"661308";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Rajbala";"IND";"0";"8th Pass";"36";"816752";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Rajbala Ola";"INC";"0";"Doctorate";"61";"58115000";"500000";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
"Urmila";"Megh Desham Party";"0";"Graduate";"26";"353000";"0";"No";"JHUNJHUNU";"RAJASTHAN";"2014";"Loksabha";"No Comment"
