"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Hari Om Singh Rathore";"BJP";"0";"Graduate";"56";"188310824";"2728752";"Yes";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Bhanwar Lal Mal";"IND";"0";"8th Pass";"50";"2671280";"171200";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Gopal Singh Shekhawat";"INC";"0";"Graduate Professional";"63";"4157012";"796727";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Gulam Farid";"SP";"0";"8th Pass";"49";"858960";"148000";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Heera Alias Heera Bhai Kathat";"IND";"0";"Literate";"54";"885000";"50000";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Idrish Mohammad";"Jago Party";"0";"8th Pass";"40";"2682000";"0";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Khima Ram Salav";"IND";" 1";"8th Pass";"43";"1566000";"85000";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Laxma";"Jai Maha Bharath Party";"0";"5th Pass";"30";"397073";"18000";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Neeru Ram";"BSP";"0";"10th Pass";"44";"6866060";"90000";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Pradip Singh Bhatnaga";"AAP";"0";"Post Graduate";"58";"12368765";"520000";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Sanjay Choudhary";"IND";"0";"Graduate";"45";"9990000";"420000";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
"Surya Bhavani Singh Chawada";"IND";"0";"Graduate Professional";"35";"3121717";"225545";"No";"RAJSAMAND";"RAJASTHAN";"2014";"Lok Sabha";"No Comment"
