"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Venkatesh Babu .t.g";"AIADMK";"0";"Post Graduate";"53";"37038275";"804032";"Yes";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Anbazhagan .g";"IND";"0";"Post Graduate";"49";"1070799";"0";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Babu Mailan .a";"Lok Satta Party";"0";"Graduate Professional";"42";"4319709";"940000";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Balaji. E";"IND";"0";"Post Graduate";"40";"1076500";"180000";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Biju Chacko";"INC";"0";"Graduate Professional";"45";"53691343";"516000";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Charavanan. M.p.";"IND";"0";"Graduate";"53";"3716798";"0";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Deepak. C";"IND";"0";"Graduate";"34";"6832000";"7000000";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Devaraj. G";"IND";"0";"Graduate Professional";"32";"577000";"0";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Durai Babu. R";"IND";"0";"8th Pass";"37";"402800";"0";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Giriraj. D";"IND";"0";"5th Pass";"46";"3415000";"0";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Girirajan .";"DMK";"0";"Not Given";"59";"46700792";"7733259";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Janarthanan .j";"BSP";"0";"Graduate Professional";"49";"4940000";"0";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Kesavan. L";"IND";"0";"8th Pass";"48";"27659000";"1228000";"No";"CHENNAI NORTH";"TAMIL NADU";"2014";"Loksabha";"No Comment"
