"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Nagarajan, P.";"AIADMK";"0";"Graduate Professional";"52";"34306545";"2235538";"Yes";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Abdul Salam, A.";"IND";"0";"5th Pass";"38";"1768600";"700000";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Alphonesraj, M.";"IND";"0";"5th Pass";"45";"261500";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Anbuselvan.";"IND";"0";"Graduate Professional";"37";"5831644";"2900000";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Chandran, D.";"CPI(ML)L";"0";"Graduate";"44";"3388439";"1651255";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Doraisamy, A.";"Makkal Manadu Katchi";"0";"8th Pass";"61";"5000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ganeshkumar, K.";"DMK";"0";"Graduate Professional";"57";"12964091";"222000";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Jagadeeswaran, S.";"Ulzaipali Makkal Katchy";"0";"10th Pass";"38";"161000";"15000";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Jerlld Amalajothi, I.";"IND";"0";"10th Pass";"37";"943000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Kalapirar Kuppusamy, C.";"CPI(ML) Red Star";"0";"8th Pass";"54";"2000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Kanagasabapathy, G.";"IND";"0";"5th Pass";"37";"19500";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Kittusamy, P.";"IND";"0";"5th Pass";"53";"80000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Mohanraj, K.";"IND";"0";"8th Pass";"47";"80000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Nagaraj, S.";"IND";"0";"5th Pass";"34";"140000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Natarajan, P.r.";"CPI(M)";" 1";"12th Pass";"63";"4126060";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Pon Chandran.";"AAP";" 1";"Post Graduate";"60";"6278508";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Prabhu, R.";"INC";"0";"Post Graduate";"66";"609497080";"112606039";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Radhakrishnan, C.p.";"BJP";"0";"Graduate";"56";"663198857";"35999300";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Radhakrishnan, R.";"IND";"0";"5th Pass";"54";"100000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Rajagopal, M.";"IND";"0";"10th Pass";"62";"6447504";"120000";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ranjithkumar, M.";"IND";"0";"5th Pass";"38";"1641250";"226000";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sridharan, S.";"IND";"0";"10th Pass";"40";"140000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Subash, K.r.";"IND";"0";"10th Pass";"40";"5818000";"1950000";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Tamilnadu Selvam, Era.";"BSP";"0";"5th Pass";"50";"35000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Tamilselvan, K.";"IND";"0";"Graduate Professional";"46";"425000";"0";"No";"COIMBATORE";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
