"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"A.arunmozhithevan";"AIADMK";" 9";"Graduate Professional";"45";"15765250";"0";"Yes";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"A.baska";"IND";"0";"10th Pass";"33";"1100000";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Alagiri.s";"INC";"0";"Graduate";"61";"17918014";"51740512";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Anandharajan.s";"IND";"0";"Post Graduate";"38";"64850";"17652";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Jaishankar.p.";"IND";"0";"5th Pass";"47";"805979";"900000";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Jayasankar.c.";"DMDK";"0";"Post Graduate";"42";"355033000";"267451000";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"K.balasubramania";"CPI";"0";"Graduate";"65";"5998936";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Nandagopalakrishnan.k.";"DMK";"0";"Graduate Professional";"73";"41858537";"1162495";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Radhakrishnan.k.";"IND";"0";"8th Pass";"44";"1645000";"271000";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Rajkumar.v";"IND";"0";"Graduate";"37";"368000";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"S.girija";"IND";"0";"Post Graduate";"29";"370000";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Senguttuvan.";"IND";"0";"5th Pass";"34";"408500";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Senthilmurugan.s";"BSP";"0";"Graduate Professional";"41";"517700";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Shruti Mishra";"Union Party of India";"0";"Graduate Professional";"27";"5205760";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Syed Mohideen.a.g.";"AAP";"0";"Graduate";"65";"23090724";"3340000";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"T.sivagnanasambanda";"IND";"0";"Post Graduate";"59";"8496700";"30000";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Thirunavukkarasu";"IND";"0";"Post Graduate";"29";"15000";"0";"No";"CUDDALORE";"TAMIL NADU";"2014";"Loksabha";"No Comment"
