"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Maragatham K";"AIADMK";"0";"12th Pass";"32";"18997050";"4468600";"Yes";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Balamurugan, R";"IND";"0";"Others";"29";"63000";"0";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Maragatham M";"IND";"0";"8th Pass";"37";"122000";"0";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Pargunan A.";"IND";"0";"10th Pass";"27";"0";"0";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sathiyanathan, N.";"IND";"0";"5th Pass";"51";"578000";"0";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sathiyaraj J.s";"BSP";"0";"Doctorate";"34";"1205000";"400000";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sathya C.e.";"MDMK";"0";"Graduate";"50";"20582544";"60000";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Selvam G";"DMK";"0";"Post Graduate";"40";"7304895";"563000";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Srinivasan C.";"IND";"0";"Post Graduate";"61";"2957000";"0";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ulaganathan .a";"IND";"0";"12th Pass";"43";"418000";"0";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Viswanathan P";"INC";"0";"Graduate";"49";"15447693";"1770204";"No";"KANCHEEPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
