"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"R.gopalakrishnan";"AIADMK";"0";"Graduate";"45";"72503060";"7406366";"Yes";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"A Thavama";"BSP";"0";"Illiterate";"49";"51000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"A.kanna";"IND";"0";"8th Pass";"41";"262590";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"B.vikrama";"CPI(M)";"0";"10th Pass";"52";"2591109";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Bharathi Kannamma";"IND";"0";"Graduate";"53";"105000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"D Sivamuthu Kuma";"DMDK";" 2";"Post Graduate";"43";"12866994";"4084000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"G.kanna";"IND";"0";"Graduate";"36";"101000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"G.maria Joseph Xaviou";"IND";"0";"Post Graduate";"76";"7492013";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"J.manikandeswara";"IND";"0";"Post Graduate";"27";"488000";"40000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"K.k.ramesh";"IND";"0";"Post Graduate";"43";"315000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"K.raja";"Desiya Forward Bloc";" 2";"8th Pass";"48";"6137145";"1353026";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"K.thangapand";"IND";"0";"Illiterate";"48";"101000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"M Venkatesa";"IND";"0";"Post Graduate";"45";"2213164";"620397";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"M.gopalakrishna";"IND";" 6";"10th Pass";"38";"3798200";"1040000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"M.kamacis";"AAP";"0";"Graduate Professional";"43";"4494623";"966227";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"M.meenakshisundaram";"IND";"0";"Post Graduate";"65";"4235311";"80000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"M.mohammed Al";"Samata Party";"0";"5th Pass";"38";"245086";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"N Alagu Muthu Velayudam";"IND";"0";"10th Pass";"68";"7200000";"2100000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"P.chandrabos";"IND";" 2";"Literate";"35";"905000";"284000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"P.gopalakrishna";"IND";"0";"Graduate";"45";"72803120";"7406426";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"P.jeyakuma";"IND";"0";"Graduate Professional";"42";"1003650";"260000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"P.ramasubramania";"IND";"0";"10th Pass";"38";"3742169";"3012000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"S.arivudainamb";"IND";"0";"Graduate Professional";"45";"261000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"S.ganesa";"IND";"0";"10th Pass";"67";"230000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"S.manickavasagam";"IND";"0";"Illiterate";"39";"20000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"T.n.bharath Nachiappa";"INC";"0";"Post Graduate";"38";"5559753";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"T.ramasamy";"IND";"0";"5th Pass";"57";"118530";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"V Velusamy";"DMK";" 9";"Graduate Professional";"63";"38731336";"3600000";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"V.andichamy";"IND";"0";"Graduate Professional";"45";"441200";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"V.g.ramdoss";"IND";"0";"Graduate Professional";"63";"77071122";"6290631";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"V.karuppaiah";"IND";"0";"5th Pass";"55";"67000";"0";"No";"MADURAI";"TAMIL NADU";"2014";"Loksabha";"No Comment"
