"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"R.p.marutharajaa";"AIADMK";"0";"Post Graduate";"51";"24570213";"0";"Yes";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Abdul Rahman, R.";"IND";"0";"10th Pass";"41";"8165500";"340000";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Anbil Thangamani, K.";"IND";"0";"Post Graduate";"70";"6300000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Chinna Rajendran, C.";"IND";"0";"12th Pass";"37";"2700000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Mani, P.";"IND";"0";"10th Pass";"47";"2163000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Marutharaj, P.";"IND";"0";"8th Pass";"33";"930000";"180000";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Pachamuthu, N.";"IND";"0";"Not Given";"65";"2025000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Parivendar Pachamuthu, T.r.";"BJP";" 1";"Post Graduate";"72";"776948435";"30885280";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Prabu, S.";"IND";"0";"10th Pass";"33";"1850000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Rajasekar, T.";"IND";"0";"10th Pass";"42";"540000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Rajasekaran, M.,";"INC";" 4";"Graduate";"53";"23598000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ramar Yadav, K.";"Tamil Nadu Makkal Congress";"0";"Not Given";"39";"805000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Rengaraju, M.";"IND";"0";"8th Pass";"54";"1350950";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Seemanur Prabu, S.";"DMK";"0";"Others";"44";"18402538";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Selvaraj, V.m.";"BSP";"0";"Post Graduate";"58";"2152232";"38000";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sivaperumal, K.";"IND";"0";"12th Pass";"31";"391003";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Subramani, D.";"IND";"0";"12th Pass";"34";"2880137";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Thozhar Tamilselvan, P.";"United Communist Party of India";"0";"Literate";"51";"2015076";"136382";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Vadivelu, P.";"IND";" 1";"12th Pass";"32";"750000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Velayutham, C.";"IND";"0";"5th Pass";"53";"81000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Viswanathan, A.";"IND";"0";"10th Pass";"60";"863000";"0";"No";"PERAMBALUR";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
