"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Anwhar Raajhaa.a";"AIADMK";"0";"Graduate";"65";"33582876";"2700000";"Yes";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Allapichai .";"IND";"0";"Graduate";"70";"13660000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Amirthalingam .u";"IND";"0";"8th Pass";"62";"1460000";"370000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Annamalai .s";"IND";"0";"Post Graduate";"49";"7080000";"1300000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Arasakumar B.t.";"Desiya Forward Bloc";" 4";"Post Graduate";"47";"81788578";"19687720";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ayyappan .s";"IND";"0";"Not Given";"52";"620000";"110000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Azhagu Meena .a";"IND";"0";"Post Graduate";"35";"9651";"5500";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Balakrishnan .s.s.";"IND";" 1";"Not Given";"42";"4355000";"500000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Gokila .k";"IND";"0";"Post Graduate";"30";"134022";"240000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Gopal .";"IND";"0";"Graduate";"33";"570000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Kannathasan .";"IND";"0";"10th Pass";"35";"20000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Kasirajan .";"IND";"0";"5th Pass";"51";"770000";"1000000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Kuppuramu .d";"BJP";"0";"Graduate Professional";"57";"24225393";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Manivasagam";"IND";"0";"Graduate";"36";"900000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Mohamed Jaleel .s";"DMK";"0";"Graduate Professional";"69";"294761445";"47707836";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Mookaiya .s";"IND";"0";"5th Pass";"38";"73867";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Murugeswa";"IND";" 1";"10th Pass";"38";"538600";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Noor Jiyavudeen.m.";"SDPI";" 5";"8th Pass";"51";"5640727";"1245457";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Palpandi .c";"IND";" 1";"Graduate";"47";"120000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Periyasamy .p";"IND";"0";"Graduate";"53";"1225000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Ravi .k";"IND";"0";"5th Pass";"43";"75000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sasi Kumar .s";"IND";"0";"Not Given";"31";"279000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sathiah .g";"IND";"0";"Graduate";"57";"940000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Sivagurunathan .k";"BSP";"0";"Post Graduate";"41";"695000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Subbiah .m";"IND";"0";"10th Pass";"61";"837800";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Thennarasu .p";"IND";"0";"Others";"47";"460000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Thiagarajan .";"IND";"0";"Graduate Professional";"47";"850000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Thirunnavukkarasar .su";"INC";" 1";"Post Graduate";"64";"34748520";"469666";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Uma Mageswari R.t.";"CPI";"0";"12th Pass";"49";"688550";"1165000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Velchsamy .";"IND";"0";"8th Pass";"40";"2750000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
"Vetrivel .s";"IND";"0";"Graduate";"38";"30000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2014";"Lok Sabha";"No Comment"
