"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Pannerselvam.v";"AIADMK";"0";"Graduate Professional";"55";"32268097";"253282";"Yes";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Abdul Wahid I";"IND";"0";"Post Graduate";"31";"1800";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Arumugam M";"IND";"0";"10th Pass";"73";"11075983";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Chinnusamy N";"IND";"0";"5th Pass";"47";"451500";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Govindaraju K";"IND";"0";"8th Pass";"37";"1745550";"78214";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Kandasamy R";"IND";"0";"10th Pass";"62";"31000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Kuppayee R";"IND";"0";"12th Pass";"35";"150000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"M Ahamed Shahjaha";"IND";"0";"Post Graduate";"45";"4100000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Mass Ganesh A";"Thrinamool Tamil Nadu Congress";"0";"10th Pass";"53";"275100";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Nandakumar G";"IND";"0";"Others";"38";"6137168";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Panneerselvam N";"IND";" 1";"8th Pass";"39";"1135000";"425000";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Prakasam R";"IND";"0";"12th Pass";"34";"2971359";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"R Venkatesa";"RPI(A)";"0";"5th Pass";"29";"175000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Raja A";"IND";" 1";"8th Pass";"47";"1971000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Rajakannu A";"IND";"0";"8th Pass";"31";"691401";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Rangarajan Mohan Kumaramangalam";"INC";"0";"Post Graduate";"35";"240204511";"26229574";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Sakthivel S";"IND";"0";"8th Pass";"45";"3100000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Satheesh Kumar E";"AAP";"0";"Post Graduate";"39";"11428000";"2416872";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Senthil Kumar M";"IND";"0";"Graduate";"35";"149900";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Shanmugam G";"Makkal Manadu Katchi";"0";"8th Pass";"44";"25000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Sudhish L K";"DMDK";" 6";"Graduate";"47";"339159159";"96626000";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Thiagarajan K";"IND";"0";"12th Pass";"40";"856000";"100000";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Umarani S W/o Sivakuma";"IND";"0";"8th Pass";"41";"730000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Umarani. S W/o Selvaraj";"DMK";"0";"Post Graduate";"54";"13571624";"963005";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
"Vinayagamoorthi T";"BSP";"0";"10th Pass";"39";"197000";"0";"No";"SALEM";"TAMIL NADU";"2014";"Loksabha";"No Comment"
