"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Narsaiah Boora";"TRS";"0";"Post Graduate";"55";"202983225";"13574088";"Yes";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Arvapally Ambat";"BSP";"0";"10th Pass";"34";"100000";"0";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Boilla Narend";"RPI";"0";"10th Pass";"32";"27700";"0";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Cherupally Seetharamulu";"CPI(M)";"0";"10th Pass";"60";"7692700";"0";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Guahati Motilal";"All India Majlis-E-Ittehadul Muslimeen";" 2";"Literate";"45";"7493876";"0";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Guduru Janardhan Reddy";"Jai Samaikyandhra Party";"0";"10th Pass";"41";"2223000";"1550000";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Kapilavai Dileep Kuma";"RLD";"0";"Post Graduate";"60";"49896406";"0";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Komatireddy Rajgopal Reddy";"INC";"0";"Graduate";"46";"667095133";"6813472";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"N. Indrasena Reddy";"BJP";"0";"Post Graduate";"64";"138815590";"5055000";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Nagula Srinivas Yadav";"Mahajana Socialist Party";" 1";"Graduate Professional";"44";"8043000";"650000";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Navulla Mallareddy";"IND";"0";"Post Graduate";"42";"1485500";"45000";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Ravulapally Kondal Rao";"Pyramid Party of India";"0";"Post Graduate";"62";"3480000";"0";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
"Varikuppala Krishna";"IND";" 1";"8th Pass";"45";"11976000";"2400000";"No";"BHONGIR";"TELANGANA";"2014";"Loksabha";"No Comment"
