"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Asaduddin Owaisi";"All India Majlis-E-Ittehadul Muslimeen";" 4";"Graduate Professional";"43";"40611099";"14000000";"Yes";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Binghi Rajasheka";"Pyramid Party of India";"0";"10th Pass";"38";"490000";"200000";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Boddu Sainath Reddy";"Yuvajana Sramika Rythu Congress Party";"0";"10th Pass";"36";"5031000";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Dr.bhagavanth Rao";"BJP";"0";"Graduate Professional";"61";"4274998";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Jaya Vindhyala";"Socialist Party (India)";"0";"Post Graduate";"49";"1850000";"500000";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Lubna Sarwath";"AAP";"0";"Doctorate";"49";"65500";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"M A Habeeb";"IND";" 1";"10th Pass";"37";"141000";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Md Osma";"IND";" 2";"5th Pass";"52";"977524";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"N.mahender Singh";"Nava Bharat National Party";" 1";"12th Pass";"49";"5300000";"2000000";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Rashid Shareef";"TRS";"0";"8th Pass";"53";"9901000";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"S Krishna Reddy";"INC";"0";"Graduate";"51";"25397000";"369391";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"S.khaja Moinudd";"All India Azad Congress Party";"0";"Graduate";"45";"3020000";"150000";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Shaik Mo";"IND";"0";"Literate";"46";"40000";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Syed Abdul Gaff";"IND";"0";"12th Pass";"56";"109250";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Syed Mustafa Mahmood";"Majlis Bachao Tahreek";"0";"12th Pass";"45";"400000";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
"Venu Gopal.p";"BSP";"0";"Post Graduate";"30";"50000";"0";"No";"HYDERABAD";"TELANGANA";"2014";"Loksabha";"No Comment"
