"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dayakar Pasunoori";"TRS";" 1";"Graduate";"48";"10921828";"2816956";"Yes";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Banda Susheela";"IND";"0";"10th Pass";"42";"2658500";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Devaiah Pagidipat";"BJP";"0";"Graduate Professional";"71";"1669999189";"458302086";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Gangaram Saibaba";"IND";"0";"Graduate";"30";"75000";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Jajula Bhaska";"Shramajeevi Party";"0";"Graduate";"40";"2541000";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Jannu Mahenda";"IND";"0";"Post Graduate";"33";"10000";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Jeedi Sadanandam";"Praja Satta Party";"0";"Post Graduate";"31";"124000";"41000";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Nalla Suryaprakash";"Yuvajana Sramika Rythu Congress Party";" 1";"Graduate";"56";"7665000";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Palvai Venu";"Anna YSR Congress Party";"0";"10th Pass";"44";"56000";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Sarvey Satyanarayana";"INC";" 2";"Graduate Professional";"61";"49516394";"4195312";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Velthuru Mallaiah";"Republican Party of India (Khobragade)";"0";"10th Pass";"59";"2415000";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
"Yeachu Sunil";"IND";"0";"Post Graduate";"28";"0";"0";"No";"WARANGAL";"TELANGANA";"2014";"Loksabha";"BYE ELECTION ON 21-11-2015"
