"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Hariom";"BJP";"0";"Post Graduate";"58";"15318114";"0";"Yes";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ashok Singh";"INC";" 1";"Post Graduate";"61";"1893272";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Bal Mukund Dhuriya";"CPI(ML)L";" 3";"12th Pass";"36";"32000";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Brijesh Kuma";"AAP";" 1";"Post Graduate";"35";"587612";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Jaahar Singh Kashyap";"Bahujan Mukti Party";" 1";"Graduate Professional";"62";"16443251";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rakesh Pandey";"BSP";" 3";"8th Pass";"60";"273099579";"1905400";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ram Bahal Verma";"Samyak Parivartan Party";"0";"Graduate";"61";"15638811";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ram Murti Verma";"SP";"0";"12th Pass";"49";"19754903";"1344436";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Surendra Kuma";"Adarsh Rashtriya Vikas Party";"0";"Not Given";"39";"100000";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Suresh Kuma";"Moulik Adhikar Party";"0";"Graduate";"30";"111117";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Tiger Ram Niho";"IND";"0";"8th Pass";"63";"5347882";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Vinod Kumar Tiwa";"IND";"0";"10th Pass";"0";"795000";"0";"No";"AMBEDKAR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
