"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kanwar Singh Tanwar";"BJP";"0";"5th Pass";"52";"1788430770";"4036151";"Yes";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Brajlal";"Bahujan Mukti Party";"0";"Post Graduate";"33";"6502000";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Farhat Hasa";"BSP";" 1";"10th Pass";"50";"47354896";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Hasnein Raza";"New All India Congress Party";" 1";"5th Pass";"43";"588000";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Humera Akhta";"SP";"0";"12th Pass";"37";"14344567";"50000";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Khajan Singh";"Rashtriya Congress (Babu Jagjivanram)";"0";"Literate";"29";"1025000";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mahesh";"RPI(A)";"0";"12th Pass";"30";"340000";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Naresh Chand";"IND";"0";"10th Pass";"50";"11068000";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Naresh Kuma";"IND";"0";"Post Graduate";"28";"2145327";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rajpal";"Adarsh Rashtriya Vikas Party";"0";"10th Pass";"39";"2901400";"30000";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rakesh";"Peace Party";" 1";"8th Pass";"41";"4005000";"40000";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rakesh Tikait";"RLD";" 3";"Graduate";"45";"42518038";"1095120";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Sarvesh Kumar Sa";"SHS";" 2";"10th Pass";"38";"12800000";"800000";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Surendra Singh";"IND";"0";"Post Graduate";"47";"36813206";"0";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Syed Kalbe Rushaid Rizv";"AAP";"0";"Others";"38";"5709549";"25000";"No";"AMROHA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
