"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dharmandra Yadav";"SP";"0";"Post Graduate";"37";"24987715";"8950291";"Yes";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ajit Pal Singh";"Peace Party";"0";"Graduate";"41";"8900000";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Akmal Khan Urf Chama";"BSP";"0";"Literate";"46";"14679858";"1510000";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Anil Kumar Sharma";"Labour Party of India (V.V. Prasad)";"0";"Graduate Professional";"50";"4900000";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Atul Kuma";"IND";"0";"Graduate";"40";"2156941";"593817";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Har Bhagwa";"IND";"0";"Graduate";"54";"6395670";"44625";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Hema Mehra";"AAP";"0";"10th Pass";"58";"103368000";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Madan Lal";"National Party";"0";"10th Pass";"40";"1447000";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mahendrapal";"Bhartiya Shakti Chetna Party";"0";"10th Pass";"43";"4300000";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Munshi Lal";"IND";"0";"12th Pass";"54";"832251";"50000";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Paglanand";"Mahan Dal";"0";"10th Pass";"49";"1795492";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Reena";"Rashtriya Samanta Dal";"0";"Post Graduate";"28";"93856";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Santosh Kuma";"RPI(A)";"0";"Not Given";"32";"857849";"0";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Vagish Pathak";"BJP";"0";"Post Graduate";"54";"138995758";"42644117";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Virendra Pal Gupta";"Rashtravadi Janata Party";"0";"8th Pass";"43";"785000";"350000";"No";"BADAUN";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
