"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Satyapal Singh";"BJP";"0";"Doctorate";"58";"67402076";"352000";"Yes";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ajaypal";"IND";"0";"8th Pass";"46";"5790000";"0";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ajit Singh";"RLD";"0";"Post Graduate";"74";"169254660";"0";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Anil Kuma";"Peace Party";" 4";"12th Pass";"48";"55427000";"7522794";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Arvind";"IND";"0";"12th Pass";"36";"410000";"100";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ghulam Mohammed";"SP";"0";"Post Graduate";"61";"22108104";"5678445";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Jaivindra Kuma";"IND";"0";"Graduate";"27";"244000";"0";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Krishan Pal";"Naitik Party";" 1";"12th Pass";"47";"4414465";"0";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Nishant Tyag";"IND";"0";"12th Pass";"32";"1147000";"0";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Prashant Chaudhary";"BSP";"0";"Post Graduate";"46";"258289957";"3950000";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ruksana";"IND";"0";"Illiterate";"28";"562000";"0";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ssomendar Dhaka";"AAP";"0";"Graduate Professional";"40";"6488116";"250000";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Subhash Chand Kashyap";"IND";"0";"Post Graduate";"35";"2539312";"200000";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Yunush";"Navbharat Nirman Party";"0";"Literate";"45";"4810000";"0";"No";"BAGHPAT";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
