"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Savitri Bai Foole";"BJP";" 8";"Graduate";"33";"1121491";"538145";"Yes";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Comando Kamal Kisho";"INC";" 1";"Graduate";"62";"10862277";"0";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Dr.vijay Kuma";"BSP";"0";"Graduate Professional";"41";"8160460";"2000000";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Hira Lal Rao";"Ambedkar National Congress";"0";"Graduate Professional";"63";"1279200";"0";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Jagat Ram";"AAP";" 1";"10th Pass";"40";"502257";"0";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Madhav";"Lok Dal";"0";"5th Pass";"35";"58251";"0";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ram Naresh";"IND";"0";"8th Pass";"30";"1400000";"0";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ramashanker Gond";"Jai Hind Samaj Party";"0";"12th Pass";"31";"1945000";"0";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Shabbir Ahmad";"SP";" 1";"12th Pass";"55";"7062525";"207782";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Vinod Kuma";"Bahujan Mukti Party";"0";"Post Graduate";"31";"98000";"0";"No";"BAHRAICH";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
