"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kamlesh Paswan";"BJP";"0";"Graduate";"38";"101640625";"14568500";"Yes";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Arjun Prasad Raw";"Bhartiya Sarvjan Party";"0";"10th Pass";"45";"572000";"0";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Chandrika";"Rashtriya Janwadi Party (Krantikari)";"0";"Post Graduate";"34";"211315";"0";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Gorakh Prasad";"SP";" 1";"Graduate Professional";"56";"9844522";"485000";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Kunjawat";"IND";"0";"Graduate";"41";"1249585";"0";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Lalchand Prasad";"Ambedkar Samaj Party";"0";"Doctorate";"44";"482718";"0";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ram Naresh";"Indian Savarn Samaj Party";" 1";"Literate";"50";"122650";"0";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ramnivas Paswa";"AAP";"0";"Post Graduate";"38";"1235967";"0";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ramprit";"Bahujan Mukti Party";"0";"10th Pass";"49";"7359921";"81700";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Sadal Prasad";"BSP";"0";"Post Graduate";"59";"14638542";"4371964";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Sanjay Kuma";"INC";"0";"Post Graduate";"39";"18180208";"4089839";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Sheo Shanka";"IND";"0";"Graduate Professional";"63";"5668318";"0";"No";"BANSGAON";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
