"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kunwar Bhartendra";"BJP";" 2";"Post Graduate";"50";"16340646";"0";"Yes";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Gajresh Kuma";"IND";" 1";"Graduate";"26";"266000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Gaurav";"AAP";"0";"Graduate Professional";"40";"28246000";"24000000";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Jaya Prada Nahata";"RLD";"0";"12th Pass";"51";"226399859";"3931582";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Kamal";"IND";"0";"5th Pass";"44";"1606593";"0";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Malook Naga";"BSP";"0";"Graduate";"48";"2896200000";"33733000";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mohamad Adeeb";"Rashtrawadi Samaj Party";"0";"Post Graduate";"68";"26241383";"0";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mohammad Moosa";"Peace Party";"0";"Graduate";"41";"8740204";"0";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Parvez Aqil";"All India Minorities Front";"0";"Graduate";"42";"104992";"0";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Shahnawaj Rana";"SP";" 11";"Graduate Professional";"41";"145562257";"54311908";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Uday Alies Udayv";"Bharatiya Momin Front";" 1";"Not Given";"54";"1610000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Umesh Alies Pa";"IND";"0";"8th Pass";"32";"545918";"0";"No";"BIJNOR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
