"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kalraj Mishra";"BJP";"0";"Post Graduate";"73";"55048193";"0";"Yes";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Arun Kumar Tripath";"AAP";"0";"Graduate Professional";"55";"26282936";"0";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Awadh Kishor Nigam";"Adarsh Rashtriya Vikas Party";"0";"Graduate";"33";"85000";"0";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Barkha Kinna";"IND";"0";"Literate";"38";"19390267";"0";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Hemant Kishor Srivastava";"IND";"0";"Post Graduate";"34";"269500";"20284";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Intzarul";"Bahujan Mukti Party";"0";"8th Pass";"36";"615000";"170000";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Niyaj Ahmad";"BSP";"0";"12th Pass";"51";"36306005";"1833575";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Raju";"Moderate Party";" 1";"Literate";"32";"216000";"0";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Ram Pravesh";"Bharatiya Ekta Dal";"0";"12th Pass";"31";"145500";"0";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Ram Preet";"Most Backward Classes Of India";"0";"Literate";"48";"597639";"0";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Sabha Kunwa";"INC";"0";"Post Graduate";"60";"4897276";"544512";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Shyam Sunda";"Peace Party";"0";"10th Pass";"39";"4950000";"500000";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Umesh";"Suheldev Bhartiya Samaj Party";"0";"8th Pass";"46";"14442000";"0";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Ved Prakash Mall";"JD(U)";"0";"Not Given";"41";"8427012";"1130000";"No";"DEORIA";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
