"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rekha";"BJP";"0";"12th Pass";"39";"10435468";"2375000";"Yes";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ajay Verma";"Bharatiya Jan Kranti Dal (Democratic)";"0";"Graduate";"48";"1281743";"185000";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Anand Bhadauriya";"SP";" 3";"Post Graduate";"36";"23997933";"100000";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Anand Kuma";"NCP";"0";"12th Pass";"54";"1205500";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Daud Ahmad";"BSP";" 1";"Literate";"45";"156626608";"19408646";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Kirti Singh";"SHS";"0";"Post Graduate";"57";"27853253";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Kuwar Jitin Prasad";"INC";"0";"Post Graduate";"37";"101050407";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Lekhraj";"AITC";"0";"Graduate";"28";"335000";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mala Dev";"VANCHITSAMAJ INSAAF PARTY";"0";"12th Pass";"26";"597500";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rajendra Kumar Singh";"Peace Party";"0";"12th Pass";"48";"692768";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ram Bal";"CPI(ML) Red Star";"0";"10th Pass";"48";"92484";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Sukhvindra Singh";"Nav Bharat Democratic Party";"0";"10th Pass";"32";"150025";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Swami Dayal";"IND";"0";"5th Pass";"61";"21000";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Vijay Kumar Tiwa";"IND";"0";"Post Graduate";"54";"844228";"19681";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Vivek Mishra";"Naitik Party";"0";"Graduate";"36";"752800";"0";"No";"DHAURAHRA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
