"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Akshay Yadav";"SP";"0";"Graduate";"27";"100883304";"59377";"Yes";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Atul Chaturved";"INC";"0";"Post Graduate";"52";"27115000";"42300";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Jay Prakash";"SHS";"0";"Graduate";"48";"590800";"0";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Khajan Singh";"Lok Dal";"0";"12th Pass";"31";"351000";"0";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Laxm";"Bhartiya Shakti Chetna Party";"0";"Graduate";"47";"710078";"20000";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Laxmi Naraya";"Rashtriya Janwadi Party (Krantikari)";"0";"Graduate";"34";"2658630";"1571154";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Mirja Mukarram Baig";"IND";"0";"8th Pass";"26";"1000";"0";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Rahat Afroz";"IUML";"0";"10th Pass";"52";"9063214";"0";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Rajendra Prasad";"Bahujan Mukti Party";"0";"Graduate";"51";"180000";"50000";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Rajv";"IND";"0";"10th Pass";"47";"394000";"0";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Rakesh Yadav";"AAP";"0";"Post Graduate";"65";"55947000";"3400000";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Satyapal Singh";"BJP";" 1";"Doctorate";"53";"33097756";"944483";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Shamsher Kha";"Peace Party";"0";"10th Pass";"37";"1973200";"300000";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Upendra Singh";"Bharatiya Kisan Parivartan Party";"0";"Graduate Professional";"36";"1396180";"0";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Vishwadeep Singh";"BSP";"0";"Post Graduate";"60";"48629198";"438000";"No";"FIROZABAD";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
