"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kirti Vardhan Singh";"BJP";"0";"Post Graduate";"48";"74738429";"9275782";"Yes";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ajay Kumar Prabhaka";"Bahujan Mukti Party";"0";"Graduate Professional";"27";"60000";"0";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Akbar Ahmad Dumpy";"BSP";" 3";"Graduate";"62";"26607824";"1784507";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Beni Prasad Verma";"INC";" 3";"Graduate Professional";"73";"70042778";"0";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Brijnandan Tiwa";"IND";"0";"12th Pass";"36";"4518000";"1830000";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mahesh Kuma";"Janvadi Party(Socialist)";"0";"Post Graduate";"39";"1220997";"0";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mashooq Ahmad";"AAP";"0";"8th Pass";"26";"909740";"273000";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Masood Alam Kha";"Peace Party";" 1";"Graduate";"41";"9414800";"1441000";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Nandita Shukla";"SP";"0";"Post Graduate";"50";"13343497";"700000";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Om Prakash";"CPI";"0";"Post Graduate";"55";"1211746";"0";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Prem Kuma";"Most Backward Classes Of India";"0";"10th Pass";"25";"257962";"0";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rajendra Prasad";"Samyak Parivartan Party";"0";"Literate";"34";"2627510";"40000";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rajesh Kumar Maurya";"Socialist Party (India)";"0";"12th Pass";"46";"215318";"0";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Satya Prakash";"SHS";" 2";"Graduate";"44";"1156600";"120000";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Tilak Ram";"IND";"0";"10th Pass";"38";"443788";"26500";"No";"GONDA";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
