"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Anshul Verma";"BJP";"0";"Post Graduate";"39";"30385000";"0";"Yes";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Chandra Pal";"Bharatiya Republican Paksha";"0";"8th Pass";"41";"184037";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Hira Lal Verma";"AAP";"0";"Post Graduate";"59";"6019712";"500000";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Ram Dayal";"Peace Party";"0";"Post Graduate";"73";"24264635";"732";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Ram Lakhan Gautam";"Indian Savarn Samaj Party";"0";"10th Pass";"27";"660000";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Ram Pal";"IND";"0";"8th Pass";"50";"1601000";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Sanjay Kuma";"Bhartiya Krishak Dal";"0";"Graduate";"45";"552200";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Sant Ram";"Bahujan Mukti Party";"0";"Literate";"42";"717400";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Saroj Kuma";"IND";"0";"12th Pass";"49";"2776000";"1520000";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Sarvesh";"IND";"0";"10th Pass";"37";"3956424";"270000";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Sarvesh Kuma";"INC";" 2";"Graduate";"39";"2917101";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Shiv Kuma";"IND";"0";"Graduate";"63";"148039";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Shive Prasad Verma";"BSP";" 6";"8th Pass";"64";"26102946";"5572545";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Sunil Bhart";"IND";"0";"10th Pass";"26";"286500";"0";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Usha Verma";"SP";"0";"Post Graduate";"48";"35859654";"1100000";"No";"HARDOI";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
