"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Sanjeev Kumar Balyan";"BJP";" 1";"Doctorate";"41";"10794222";"3090803";"Yes";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Anil Kuma";"Bahujan Mukti Party";"0";"Graduate Professional";"49";"4662600";"518000";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Anku";"IND";"0";"12th Pass";"28";"7425346";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Chater Singh Kashyap";"Vanchit Jamat Party";"0";"10th Pass";"58";"12559000";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Gufran Ahamad";"IND";"0";"12th Pass";"29";"2054600";"125000";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Jagbir Singh";"IND";"0";"Graduate Professional";"60";"19380034";"1100000";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Kadir Rana";"BSP";" 5";"Literate";"50";"135202262";"24105110";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Lalit Chauha";"JD(U)";"0";"12th Pass";"31";"685000";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Mange Ram Kashyap";"Majdoor Kisan Union Party";"0";"Graduate Professional";"46";"2663000";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Mohammed Yam";"AAP";"0";"10th Pass";"65";"13243000";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Mohd. Yam";"All India Ravidas Samata Party";"0";"Illiterate";"57";"12000";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Naseem Ahmad Ansa";"IND";"0";"Literate";"55";"126110";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Pankaj Agarwal";"INC";"0";"Graduate";"43";"242260053";"27148000";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Phool Singh Pal";"IND";"0";"12th Pass";"66";"17502382";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Rajesh Devi Urf Radhika";"AITC";"0";"Graduate Professional";"33";"7370060";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Rakesh";"IND";"0";"12th Pass";"57";"1818316";"28990";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Shabnam";"IND";"0";"Literate";"42";"805000";"0";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Shandar Gufra";"IND";"0";"Post Graduate";"40";"7268197";"661855";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
"Virendra Singh";"SP";" 2";"Post Graduate";"61";"293622871";"466848";"No";"MUZAFFARNAGAR";"UTTAR PRADESH";"2014";"Lok Sabha";"No Comment"
