"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sharad Tripathi";"BJP";"0";"Post Graduate";"42";"3697671";"71800";"Yes";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Aaftab Alam Kha";"AAP";"0";"Graduate Professional";"27";"578842";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Amit";"IND";"0";"Graduate";"34";"30000";"50000";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Aparna";"IND";"0";"Graduate";"35";"8213000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Bhal Chandra Yadav";"SP";" 10";"Graduate";"55";"6369213";"9499365";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Bhism Shankar Alias Kushal Tiwa";"BSP";"0";"12th Pass";"49";"102165611";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Jaintri Prasad";"IND";"0";"Literate";"55";"2229863";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Jantri Lal Chauha";"Janvadi Party(Socialist)";"0";"10th Pass";"37";"1253000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Jyoti Singh";"Bahujan Sangharsh Party (Kanshiram)";"0";"12th Pass";"44";"3310000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Kailas Nath Belda";"IND";" 2";"12th Pass";"52";"1325000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Kripa Narayan Ra";"IND";"0";"Graduate";"54";"4320500";"100000";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Lota";"Shoshit Samaj Dal";"0";"Graduate";"52";"503000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mohammad Al";"Parcham Party of India";" 1";"Others";"28";"65000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Mohammad Irfa";"IND";"0";"Graduate Professional";"28";"25678455";"828616";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Prem Prakash";"Indian Peace Party";"0";"Graduate";"62";"732829";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rajaram";"Peace Party";"0";"5th Pass";"37";"840002";"380736";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rajendra";"Rashtriya Janwadi Party (Krantikari)";"0";"10th Pass";"34";"281200";"110000";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rajma";"Bahujan Mukti Party";"0";"Not Given";"46";"677185";"39000";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Ravikant";"Most Backward Classes Of India";" 1";"Post Graduate";"34";"5252892";"1371975";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Rohit Kumar Pandey";"INC";"0";"Graduate";"34";"7605072";"313158";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Sant Siromani Baboolal Yadav Maharaj J";"Suheldev Bhartiya Samaj Party";" 3";"8th Pass";"34";"3597000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Shabbir Hus";"Jai Hind Samaj Party";"0";"Not Given";"41";"3775000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Shyam Lal";"IND";"0";"Post Graduate";"65";"10577000";"385000";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Subodh Chandra";"IND";"0";"Graduate";"29";"12312000";"0";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
"Surendra Kumar Chaudhary";"IND";" 1";"Post Graduate";"45";"5598245";"250000";"No";"SANT KABIR NAGAR";"UTTAR PRADESH";"2014";"Loksabha";"No Comment"
