"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Mala Rajya Laxmi Shah";"BJP";"0";"12th Pass";"64";"1662109875";"14900000";"Yes";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Anoop Nautiyal";"AAP";"0";"Post Graduate";"49";"56307735";"0";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Braham Dev Jha";"IND";"0";"Post Graduate";"48";"17514457";"0";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Gaurav Pund";"IND";"0";"Post Graduate";"27";"640000";"150000";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Jai Prakash Upadhyay";"IND";" 1";"Graduate";"40";"16271000";"1500000";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Japinder Singh";"RLD";"0";"Graduate";"43";"290216618";"0";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Jauhari Lal Suman(muni)";"Bharatiya Mool Niwasi Samaj Party";"0";"Graduate Professional";"57";"5972000";"28100";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Mohammad Yousuf";"Peace Party";"0";"Graduate";"69";"7138000";"0";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Navneet Singh";"Rashtriya Uttarakhand Party";"0";"Post Graduate";"43";"16527000";"1400000";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Prem Singh Yadav";"IND";"0";"5th Pass";"42";"3312564";"0";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Raju Maurya";"IND";"0";"Graduate";"29";"38136091";"4310000";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Saket Bahuguna";"INC";"0";"Graduate Professional";"40";"225729228";"83740404";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Satendra Sharma";"Naya Daur Party";"0";"Graduate";"52";"0";"0";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Shishpal Singh";"BSP";"0";"Post Graduate";"48";"28255000";"1900000";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Shiv Prasad Deol";"CPI(M)";"0";"Graduate";"61";"3614705";"100000";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
"Sohan Pal Singh";"IND";"0";"12th Pass";"45";"673000";"140000";"No";"TEHRI GARHWAL";"UTTARAKHAND";"2014";"Lok Sabha";"No Comment"
