"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Kakali Ghoshdostidar";"AITC";"0";"Graduate Professional";"55";"31254311";"1168220";"Yes";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Bikash Hazra";"Bahujan Mukti Party";"0";"8th Pass";"50";"2737500";"0";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Dr. Mortoza Hossa";"AIFB";"0";"Graduate Professional";"69";"20269803";"1650000";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Kalyan Basak";"IND";" 1";"12th Pass";"37";"4026359";"390000";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Md. Rafikul Islam";"Welfare Party of India";"0";"Post Graduate";"38";"278000";"0";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Morttaja Hos";"IND";"0";"Graduate";"32";"32500";"0";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"P.c. Sorkar Junio";"BJP";" 1";"Doctorate";"66";"54416813";"1536534";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Paresh Chandra Ghosh";"SUCI(C)";"0";"Post Graduate";"58";"732200";"1000000";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Riju Ghosal";"INC";"0";"Post Graduate";"39";"29223157";"500000";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Shri Kaushik Das Gupta";"IND";"0";"Graduate";"47";"74000";"0";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Sukla Bhuimal";"CPI(ML) Red Star";"0";"Post Graduate";"32";"1300";"0";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Sukumar Bala";"BSP";"0";"Post Graduate";"39";"3888552";"650000";"No";"BARASAT";"WEST BENGAL";"2014";"Loksabha";"No Comment"
