"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Partha Pratim Ray";"AITC";" 2";"Post Graduate";"34";"5979673";"511849";"Yes";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Dhananjoy Barma";"Welfare Party of India";"0";"Post Graduate";"30";"63000";"0";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Hem Chandra Barma";"BJP";"0";"12th Pass";"66";"5068000";"150000";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Kangsa Raj Barma";"Kamatapur Peoples Party (United)";"0";"12th Pass";"48";"1312500";"0";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Naresh Chandra Roy";"IND";"0";"Post Graduate";"43";"4050000";"0";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Nirmal Kumar Roy";"IND";"0";"12th Pass";"56";"1830500";"0";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Nripen Karj";"SUCI(C)";" 3";"12th Pass";"65";"383003";"49860";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Nripendra Nath Roy";"AIFB";" 4";"Graduate";"57";"18959000";"0";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Partha Pratim Iso";"INC";"0";"Graduate";"49";"18353148";"1389681";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
"Subodh Barma";"Amra Bangalee";"0";"8th Pass";"59";"710500";"0";"No";"COOCHBEHAR (SC)";"WEST BENGAL";"2014";"Loksabha";"BYE ELECTION ON 19-11-2016"
