"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Pratima Mondal";"AITC";"0";"Post Graduate";"48";"10614252";"0";"Yes";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Ananya Sarka";"BSP";"0";"Post Graduate";"25";"1265000";"0";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Arnab Roy";"INC";"0";"Graduate";"53";"5661003";"1080000";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Dr. Rabin Naska";"Bahujan Mukti Party";"0";"Graduate Professional";"38";"4354751";"10000";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Dr. Tarun Mandal";"SUCI(C)";"0";"Post Graduate";"55";"3057022";"0";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Krishnapada Majumd";"BJP";"0";"Post Graduate";"62";"8249242";"0";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Maniklal Sarda";"Rashtriya Janadhikar Suraksha Party";"0";"Graduate Professional";"69";"1204046";"0";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Subhas Naska";"RSP";"0";"Graduate";"62";"4135709";"0";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Subhas Naska";"IND";"0";"10th Pass";"38";"959500";"0";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Taranga Mondal";"AIUDF";"0";"Others";"79";"2925569";"0";"No";"JAYNAGAR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
