"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Uma Saren";"AITC";"0";"Graduate Professional";"30";"499646";"0";"Yes";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Anita Hansda";"INC";"0";"Graduate";"58";"7268903";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Bikash Mud";"BJP";"0";"10th Pass";"37";"1664100";"360000";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Buddhadeb Mand";"JMM";"0";"10th Pass";"49";"590000";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Chunibala Hansda";"Jharkhand Party (Naren)";" 2";"10th Pass";"48";"3240286";"441814";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Dr. Pulin Bihari Bask";"CPI(M)";"0";"Graduate Professional";"46";"8749410";"700000";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Gomasta Prasad So";"Akhil Bhartiya Jharkhand Party";"0";"10th Pass";"70";"987537";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Hiranmoy Majh";"IND";" 1";"12th Pass";"31";"746500";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Milan Mand";"Jharkhand Disom Party";" 4";"10th Pass";"35";"230000";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Murari Mohan Bask";"Jharkhand Anushilan Party";"0";"12th Pass";"62";"3708188";"411170";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Rajib Mud";"SUCI(C)";"0";"Graduate";"28";"650";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Rampada Hansda";"Amra Bangalee";"0";"10th Pass";"41";"0";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Subodh Kumar Mand";"IND";" 3";"10th Pass";"43";"4000";"0";"No";"JHARGRAM";"WEST BENGAL";"2014";"Loksabha";"No Comment"
